id,playerid,firstname,lastname,club,position,basesalary,guaranteedcomp,recordyear,recordseason
ySW6Q2x3,lJ8xL5,Fernando,Alvarez,MTL,D,275000.00,307500.00,2025,Fall
07pmnZPg,vI3pK1,Brandan,Craig,MTL,D,80622.00,90427.00,2025,Fall
TPwR6SEp,1OJbyC,Efrain,Morales,MTL,D,104000.00,112019.00,2025,Fall
Ci9buwVY,EsLVKp,Jalen,Neal,MTL,D,600000.00,681250.00,2025,Fall
Cxd3racg,lj8kGm,Matty,Longstaff,MTL,M,312000.00,331869.00,2025,Fall
W9AJKEYI,dtgoTz,Victor,Loturi,MTL,M,80622.00,92122.00,2025,Fall
4DIT1UIN,Pk1XaN,Alessandro,Biello,MTL,M,80622.00,80622.00,2025,Fall
Z8hlV9BM,MqzXVV,Samuel,Piette,MTL,M,535250.00,561016.00,2025,Fall
tLaUatGM,qBFwBr,Jonathan,Sirois,MTL,GK,275000.00,292625.00,2025,Fall
eHVltkvb,NEW,Thomas,Gillier,MTL,GK,445000.00,487000.00,2025,Fall
rw9r98XR,EdFWkn,Sebastian,Breza,MTL,GK,104000.00,104000.00,2025,Fall
qJmGdjTn,DL4VsM,Emil,Gazdov,MTL,GK,80622.00,88769.00,2025,Fall
X2tMW4X7,h6wMat,Dante,Sealy,MTL,F,104000.00,122022.00,2025,Fall
D4Xi2bUn,Vk7FKD,Luca,Petrasso,MTL,D,104000.00,119136.00,2025,Fall
mrCCftiT,1LDgK5,Fabian,Herbers,MTL,F,400000.00,440000.00,2025,Fall
lY1pM3FM,1vbB6b,Gennadiy,Synchuk,MTL,F,600000.00,606000.00,2025,Fall
SwT5XBd3,mARyAy,Kwadwo,Opoku,MTL,F,458333.00,598560.00,2025,Fall
r9V63cLc,4gR2fP,Dawid,Bugaj,MTL,D,240000.00,267600.00,2025,Fall
yokjd89m,M3POBc,Yuri,Guboglo,MTL,D,80622.00,86311.00,2025,Fall
OBJgj0qB,uu6Mba,Bode,Hidalgo,MTL,D,275000.00,305800.00,2025,Fall
GoH71fLK,SZbiw4,Pep,Biel,CLT,M,1300000.00,1540563.00,2025,Fall
lIs83Idy,BMd3BX,Idan,Toklomati,CLT,F,415000.00,452700.00,2025,Fall
hJq5EuTz,NEW,Archie,Goodwin,CLT,F,300000.00,341187.00,2025,Fall
iZgs8vjP,Iax3zA,Tim,Ream,CLT,D,1000000.00,1127750.00,2025,Fall
MIFAdwMJ,USFtZe,Adilson,Malanda,CLT,D,900000.00,900000.00,2025,Fall
M8SNhT1l,zyqc3Z,Jack,Neeley,CLT,D,104000.00,106000.00,2025,Fall
CzzoS2Oc,40aAOo,Bill,Tuiloma,CLT,D,500000.00,524938.00,2025,Fall
E8uDntxH,jGACcL,Andrew,Privett,CLT,D,220000.00,251400.00,2025,Fall
2Pi9pXws,iDnFjI,Eryk,Williamson,CLT,M,775000.00,775000.00,2025,Fall
xJyRGeC1,pzWJuF,Brandt,Bronico,CLT,M,350000.00,389000.00,2025,Fall
ly4YmKW1,NEW,Baye,Coulibaly,CLT,M,240000.00,269500.00,2025,Fall
iQjiaeNm,zRireD,Djibril,Diani,CLT,M,300000.00,337944.00,2025,Fall
MHHUq58N,0Saj6H,Nikola,Petkovic,CLT,M,420000.00,466250.00,2025,Fall
