id,playerid,firstname,lastname,club,position,basesalary,guaranteedcomp,recordyear,recordseason
XsBBZyyY,,Matty,Longstaff,MTL,M,416000.00,435869.00,2026,Spring
uJET7but,,Noah,Streit,MTL,F,400000.00,451333.00,2026,Spring
VEt2G7ic,,Olger,Escobar,MTL,M,88025.00,93421.00,2026,Spring
898DHh3b,,Owen,Graham-Roache,MTL,F,88025.00,93915.00,2026,Spring
m5tkl69Y,,Prince,Owusu,MTL,F,1300000.00,1330000.00,2026,Spring
9dj7DlG6,,Samsy,Keita,MTL,GK,88025.00,102637.00,2026,Spring
sMGzmVVw,,Samuel,Piette,MTL,M,535250.00,621016.00,2026,Spring
UnWrnC5v,,Sebastian,Breza,MTL,GK,113400.00,123400.00,2026,Spring
2Ig5lH94,,Sunusi,Ibrahim,MTL,F,350000.00,410000.00,2026,Spring
rbbC4VVw,,Thomas,Gillier,MTL,GK,445000.00,487000.00,2026,Spring
K4GPC3bP,,Tomas,Aviles,MTL,D,495000.00,522500.00,2026,Spring
YE3BkYLX,,Victor,Loturi,MTL,M,135000.00,146500.00,2026,Spring
by2tthTo,,Wikelman,Carmona,MTL,M,550000.00,555000.00,2026,Spring
dH7uqoGq,,Andrew,Johnson,CLT,D,88025.00,89309.00,2026,Spring
Y0EPdr61,,Andrew,Privett,CLT,D,250000.00,281400.00,2026,Spring
BHOM8NMl,,Archie,Goodwin,CLT,F,325000.00,366187.00,2026,Spring
GcfilkxX,,Ashley,Westwood,CLT,M,800000.00,833333.00,2026,Spring
Q1n2lEVn,,Baye,Coulibaly,CLT,M,300000.00,329500.00,2026,Spring
lQ6FPHbH,,Brandt,Bronico,CLT,M,500000.00,551667.00,2026,Spring
IKAAuzER,,Brian,Romero,CLT,F,175000.00,185833.00,2026,Spring
8qHEXHjN,,Chituru,Odunze,CLT,GK,125000.00,138508.00,2026,Spring
Mlib1OrY,,David,Schnegg,CLT,D,650000.00,756250.00,2026,Spring
UUO12F6v,,Djibril,Diani,CLT,M,350000.00,387944.00,2026,Spring
YnyEY9pv,,Harry,Toffolo,CLT,D,900000.00,1020000.00,2026,Spring
SQLB6Dw7,,Henry,Kessler,CLT,D,850000.00,965525.00,2026,Spring
K3dJ9ZUG,,Idan,Toklomati,CLT,F,700000.00,781500.00,2026,Spring
h7TKOvda,,Isaac,Walker,CLT,GK,113400.00,121376.00,2026,Spring
XnkDOOGk,,Jack,Neeley,CLT,D,140000.00,142000.00,2026,Spring
X4ZxPeYr,,Kerwin,Vargas,CLT,F,650000.00,733750.00,2026,Spring
ZBLzn1x2,,Kristijan,Kahlina,CLT,GK,775000.00,813750.00,2026,Spring
W5wTrVtf,,Liel,Abada,CLT,F,2500000.00,2648500.00,2026,Spring
kxcGacZF,,Luca,de la Torre,CLT,M,1457386.00,1611827.00,2026,Spring
SzfC497y,,Mikah,Thomas,CLT,D,88025.00,88428.00,2026,Spring
IqZAOcK3,,Morrison,Agyemang,CLT,D,240000.00,262080.00,2026,Spring
7uk588GL,,Nathan,Byrne,CLT,D,475000.00,498750.00,2026,Spring
JtJcSGCu,,Nick,Holliday,CLT,GK,88025.00,88025.00,2026,Spring
1a4vPxLG,,Nimfasha,Berchimas,CLT,F,150000.00,164934.00,2026,Spring
9aP58hZc,,Pep,Biel,CLT,M,2775000.00,3015563.00,2026,Spring
hpY8Lce6,,Tim,Ream,CLT,D,1000000.00,1127750.00,2026,Spring
kkbWS9Lq,,Tyger,Smalls,CLT,F,113400.00,113400.00,2026,Spring
ZXxn6jMn,,Tyler,Miller,CLT,GK,226800.00,250925.00,2026,Spring
QYk1GOTF,,Wilfried,Zaha,CLT,F,2666667.00,2751667.00,2026,Spring
JMFKEsrt,,Will,Cleary,CLT,D,88025.00,89309.00,2026,Spring
XjR5rc0w,,Rodolfo,Aloko,CLT,F,220000.00,251667.00,2026,Spring
cFbmdLVO,,Andre,Franco,CHI,M,1200000.00,1306771.00,2026,Spring
vpuj3NTZ,,Andrew,Gutman,CHI,D,625000.00,625000.00,2026,Spring
BttfyfZX,,Anton,Saletros,CHI,M,700000.00,750000.00,2026,Spring
ZlOnrDYY,,Chris,Mueller,CHI,F,150000.00,186600.00,2026,Spring
g8Ij89NL,,Chris,Brady,CHI,GK,250000.00,348333.00,2026,Spring
fQbekdMJ,,Christopher,Cupps,CHI,D,113400.00,116186.00,2026,Spring
HoC44te6,,David,Poreba,CHI,M,88025.00,98858.00,2026,Spring
kxqE9v1T,,Dean,Boltz,CHI,F,88025.00,90025.00,2026,Spring
8y1l6bWs,,Dje,D'Avilla,CHI,M,573000.00,685486.00,2026,Spring
TQmC9D53,,Dylan,Borso,CHI,F,113400.00,121400.00,2026,Spring
1Zk5uAKW,,Hugo,Cuypers,CHI,F,3238000.00,3528044.00,2026,Spring
oSjjyRnD,,Jack,Elliott,CHI,D,960511.00,1054275.00,2026,Spring
eNt3ypUv,,Jason,Shokalook,CHI,F,88025.00,88025.00,2026,Spring
uiVWNsJ6,,Jeff,Gal,CHI,GK,150000.00,165000.00,2026,Spring
