RecordID,PlayerID,Club,Position,BaseSalary,GuaranteedComp,Year
kvIERT1c,nokVxF,PHI,M-F,"70000.08","98309.48",2019
FLFrtIYG,nokVxF,PHI,M,"85000.00","103309.00",2020
CCQ7EN1Z,3Gr5oW,PHI,M,"87500.00","91500.00",2021
fzokVHiQ,3Gr5oW,PHI,M,"107500.00","111500.00",2022
kNTn4h1t,3bsHJ5,COL,D,"32604.0","32604.0",2011
EpxGwGx3,99FASA,CLT,F,"2300000.00","2448500.00",2024
BSlXAJL7,99FASA,CLT,F,"2400000.00","2548500.00",2025 Sp
qzQIpuNk,D4Dzri,RBNY,F,"50000.0","50000.0",2015
x2YjPyt6,D4Dzri,RBNY,F,"62500.0","62500.0",2016
gNQV7SHV,D4Dzri,RBNY,F,"65625.0","65625.0",2017
qqYeIgWZ,D4Dzri,RBNY,F,"68927.00","68927.00",2018
NDGpRm4B,pJZUYh,VAN,M,"46500.0","46500.0",2013
wd5hPCr1,TOEq8i,KC,D,"60000.0","73750.0",2015
40b4qyQi,TOEq8i,KC,D,"63000.0","76750.0",2016
krnyd6fX,TOEq8i,KC,D,"96800.0","110550.0",2017
4eXaLxlJ,TOEq8i,NYC,D,"106480.00","120230.00",2018
KG5GDLF0,TOEq8i,SEA,D,"70250.04","70250.04",2019
xkpdznlS,TOEq8i,CIN,D,"81375.00","90042.00",2020
GidNVaxL,TOEq8i,CLB,D,"125000.00","133667.00",2021
4AIsvy6h,2qrZkq,SJ,D,"380000.00","394000.00",2021
COxxTZWz,fC3PEV,DC,F,"800000.00","1105000.00",2021
U1muKx0m,WNcw6B,ATL,D,"556364.00","695977.00",2023
wQHx8QsV,WNcw6B,ATL,D,"732275.00","871888.00",2024
pP3DECk3,WNcw6B,ATL,D,"732275.00","871888.00",2025 Sp
tulIx73O,2G9oPa,CLB,M,"165000.0","171250.0",2017
560Eehjf,2G9oPa,CLB,M,"175008.00","181258.00",2018
oM47Id1r,2G9oPa,DC,M,"81375.00","81375.00",2020
i2ghFmsI,LGeMOB,CLB,D,"65000.04","72500.04",2017
Vykb9zsz,LGeMOB,CLB,D,"68250.04","75750.04",2018
UQX8U0If,LGeMOB,COL,D,"135000.00","144937.50",2019
bzLmHo6q,LGeMOB,COL,D,"145000.00","154937.00",2020
XqpuVwZB,LGeMOB,COL,D,"210000.00","247125.00",2021
LnhBU6KF,LGeMOB,COL,D,"235000.00","272125.00",2022
Z1gXkoIW,LGeMOB,COL,D,"665000.00","702125.00",2023
2e1SHmAB,LGeMOB,COL,D,"665000.00","702125.00",2024
hiCARpR8,LGeMOB,DAL,D,"700000.00","737125.00",2025 Sp
8tgxQGSH,L3F9hR,CHI,F,"650000.0","720937.5",2015
js9qybQN,L3F9hR,CHI,F-M,"700000.0","770937.5",2016
y2vmxANi,L3F9hR,CHI,F-M,"750000.0","820937.5",2017
pGttxhQu,L3F9hR,PHI,F-M,"1250000.04","1250000.04",2018
UV7cbU05,L3F9hR,CLB,M-F,"1010004.00","1137920.00",2019
Yn2hZeq6,L3F9hR,NSH,F,"875000.00","1002916.00",2020
eZZQL3HG,L3F9hR,NSH,F,"975000.00","1102916.00",2021
gn061ilT,Uc7zOV,NYC,D-M,"135000.00","151000.00",2020
ebjqE7v4,Uc7zOV,NYC,D-M,"135000.00","151000.00",2021
zbV1np27,Uc7zOV,NYC,D-M,"200000.00","244800.00",2022
zclKPNmQ,Uc7zOV,NYC,D-M,"230000.00","274800.00",2023
aqm4uBXM,Uc7zOV,NYC,M,"300000.00","344800.00",2024
A0evPoL2,rvWQj2,CHI,D,"330000.00","368900.00",2023
dBkSv4oe,j55wZP,TOR,M,"63547.00","63547.00",2020
RE6hdYFv,j55wZP,TOR,M,"66724.00","66724.00",2021
WtaGg2Ua,j55wZP,TOR,M,"84000.00","84000.00",2022
Zdgd6niq,j55wZP,HOU,F,"85444.00","85444.00",2023
9V3ZZUTI,KR2qnF,DAL,M,"600000.00","650000.00",2019
pUEPeXc1,KR2qnF,DAL,M,"600000.00","650000.00",2020
BF6bBxB3,KR2qnF,DAL,M,"650000.00","700000.00",2021
E6vc0ydw,KR2qnF,COL,M,"650000.00","706667.00",2022
63QBbFXb,KR2qnF,POR,M,"675000.00","731667.00",2023
InIFp6Bv,KR2qnF,NSH,M,"175000.00","196250.00",2025 Sp
8TKx651K,q9M7fQ,RSL,D/M,"62500.0","62500.0",2016
A4Qf5ZyV,q9M7fQ,RSL,M,"65625.0","65625.0",2017
5BQrPVRw,q9M7fQ,RSL,M,"100000.00","100000.00",2018
3YJCiZKP,q9M7fQ,ORL,D,"110000.04","110000.04",2019
YBkdrkcx,q9M7fQ,LA,D,"81375.00","81375.00",2020
Tojk9ulN,q9M7fQ,LA,D,"135000.00","135000.00",2021
RDFxJXBC,3yiN8K,MIA,M,"81375.00","81375.00",2020
D3lzbyAe,3yiN8K,MIA,M,"81375.00","81375.00",2021
E2UGOQmC,3yiN8K,MIA,M,"65500.00","65500.00",2022
39X8NwMB,KyJScX,DAL,M,"46500.0","70500.0",2013
xNzylagG,KyJScX,DAL,M,"55000.0","79000.0",2014
SAGxxPCK,KyJScX,DAL,M,"60000.0","84000.0",2015
Yya7tCY8,KyJScX,DAL,M-D,"220000.0","240000.0",2016
smBK7w1u,KyJScX,DAL,M,"260000.0","280000.0",2017
EZJkGLoT,KyJScX,COL,M,"280000.00","300000.00",2018
cJ7cKlsq,KyJScX,COL,D-M,"549999.96","664999.96",2019
nGTZOilx,KyJScX,COL,M,"850000.00","965000.00",2020
0hy7vbbX,KyJScX,COL,M,"1000000.00","1115000.00",2021
hmiphZwn,KyJScX,LAFC,M,"1100000.00","1215000.00",2022
rdrdXntY,KyJScX,LAFC,D-M,"1250000.00","1365000.00",2023
puH9e33r,KyJScX,CHI,M,"1392188.00","1558869.00",2024
UtO0X6yR,KyJScX,CHI,M,"1461796.00","1628477.00",2025 Sp
qIAl1K2B,SYJxQy,DC,M-F,"327272.76","429272.76",2016
Ilw2oSgl,SYJxQy,DC,M-F,"500000.0","602000.0",2017
tq7ipLdO,SYJxQy,DC,F-M,"550000.00","652000.00",2018
BSkNQo5G,SYJxQy,DC,M-F,"600000.00","702000.00",2019
BYX4Lz4m,SYJxQy,CIN,M,"1943500.00","2222854.00",2021
m1sWiqIt,SYJxQy,CIN,M,"1943500.00","2222854.00",2022
a61oO2JR,SYJxQy,CIN,M-F,"1943500.00","2222854.00",2023
Q6Mp3GSY,SYJxQy,CIN,M,"2960000.00","4216413.00",2024
vNZ6CTE9,SYJxQy,DAL,M,"3040000.00","4296413.00",2025 Sp
bfYiTkXC,D2BXbk,HOU,D,"63547.00","63547.00",2020
GMcjrNMR,QcWcao,CHI,M,"90000.00","125000.00",2018
I59HVjzT,QcWcao,ATL,M,"99999.96","134999.96",2019
BbsMwhCA,QcWcao,ATL,M,"110000.00","130000.00",2020
POiOhFZt,QcWcao,ATL,M,"121000.00","141000.00",2021
vX0F4eU3,btKl5g,RBNY,M,"65000.0","81041.67",2016
XGrTiH80,btKl5g,RBNY,M,"75000.0","91041.67",2017
AtpdOP9U,btKl5g,RBNY,M,"100000.00","146041.67",2018
01Qqoiu0,qxd0lj,DC,F,"36000.0","36000.0",2007
vwWT20AR,14Kf39,MNUFC,F,"71401.00","88621.00",2024
DJZOKux7,14Kf39,MNUFC,F,"104000.00","121220.00",2025 Sp
coTPJmNk,iRS1kp,MTL,D,"80622.00","80622.00",2025 Sp
1BjmRdir,ndxOpf,SEA,F,"53004.0","53004.0",2017
RgxMfDUA,fjiFpL,VAN,D,"729516.00","817516.00",2023
85VFLPZN,fjiFpL,VAN,D,"825000.00","913000.00",2024
2V3SlAqz,fjiFpL,VAN,D,"875000.00","963000.00",2025 Sp
PzbryGWB,XKdse1,VAN,D,"46500.0","51500.0",2013
RlXSmNSK,XKdse1,VAN,D,"50000.0","55000.0",2014
e767Q0uq,XKdse1,VAN,D,"60000.0","65000.0",2015
bw617lEQ,XKdse1,VAN,D,"70000.0","75000.0",2016
pDypHRay,XKdse1,VAN,D,"80000.0","85000.0",2017
q35OzP28,JtVHx7,SEA,F,"65500.00","65500.00",2022
pneKsgWa,JtVHx7,STL,F,"85444.00","85444.00",2023
zRaBzZxU,JtVHx7,PHI,F,"93988.00","93988.00",2024
I1Rya9Dd,tgG8LU,POR,F,"580800.0","593300.0",2014
G0kH12Ur,tgG8LU,POR,F,"651500.0","664000.0",2015
PBNdR9Y6,tgG8LU,POR,F,"640000.0","712500.0",2016
dYvw8GYg,tgG8LU,POR,F,"1190004.0","1736254.0",2017
20bj2yfY,tgG8LU,CIN,F,"1275000.00","1933333.33",2018
jKXGrusM,tgG8LU,CIN,F,"1360008.00","1965008.00",2019
EcOpHd0O,tgG8LU,CLB,F,"1370008.00","1775008.00",2020
rTNtNNQ8,tgG8LU,MNUFC,F,"81375.00","83875.00",2021
JvZXV5Vu,uMvPSA,COL,M,"300000.0","341246.0",2017
pHAwrbLo,JVln3D,COL,M,"320004.00","361250.00",2018
Qh8PHU5W,1juTlj,VAN,D,"1200000.00","1277499.90",2019
4zXd8XtQ,1juTlj,VAN,D,"1149996.00","1227496.00",2020
xI9RGOMT,qMZWi2,PHI,M,"475884.0","594884.0",2011
FH9Y2RAL,qMZWi2,PHI,M,"400000.0","519000.0",2012
nDwcELQw,VkfyrL,LA,D,"12900.0","12900.0",2008
CNjPLtbh,QTQfeo,SJ,D,"200000.04","232650.04",2018
luX6Goqr,QTQfeo,SJ,D,"249999.96","281999.96",2019
krt7KPLH,rNlpJO,CLB,D,"150000.0","150000.0",2015
2bpwGPnT,rNlpJO,CLB,D,"275000.0","291666.67",2016
sKa1pLIZ,rNlpJO,CLB,D,"280000.0","296666.67",2017
gzfglg2P,rNlpJO,CLB,D,"288099.96","363799.96",2018
dnMmXHd6,rNlpJO,CLB,D,"288099.96","363799.96",2019
tkPm0zoG,rNlpJO,CLB,D,"310000.00","340000.00",2020
qd7c3IGl,rNlpJO,CLB,D,"335000.00","365000.00",2021
I03URTbw,rNlpJO,CLT,D,"300000.00","332500.00",2022
PAf7eDol,rNlpJO,CLT,D,"85444.00","85444.00",2023
MuL3H9q7,Sd3CPm,MIA,F,"71401.00","71401.00",2024
IvmvGSkn,Sd3CPm,MIA,F,"80622.00","80622.00",2025 Sp
6UrrvW3S,6Vc0uq,KC,F,"67360.00","67360.00",2023
8N9KDrbx,6Vc0uq,KC,F,"71401.00","71401.00",2024
dJXNMpxj,6Vc0uq,KC,F,"104000.00","104000.00",2025 Sp
CD1Niybr,U2k4cw,KC,F,"200000.00","246875.00",2022
Rb2Jsgsb,U2k4cw,KC,F,"225000.00","271875.00",2023
qsFzXaFR,U2k4cw,KC,F,"475000.00","521875.00",2024
IkiYot5q,U2k4cw,RSL,F,"500000.00","546875.00",2025 Sp
mFBaqE2t,BMZ91F,TOR,D,"46500.0","53166.67",2013
yyGFK8V4,BMZ91F,COL,D,"48825.0","55491.67",2014
vwFwXxNX,rkPz1k,CIN,D,"67360.00","67360.00",2023
5j40LgC3,rkPz1k,CIN,D,"71401.00","71401.00",2024
ib1QDTa7,AvxKdw,RSL,F,"32604.0","32604.0",2011
pwq7V0JF,WGeAkh,SJ,D,"65500.00","65500.00",2022
B2P4qmoB,WGeAkh,SJ,D,"85444.00","85444.00",2023
w6fncSIf,hmqTQM,RBNY,F,"40000.0","70000.0",2010
E98KzMtT,hmqTQM,RBNY,F,"55000.0","85000.0",2011
XIlQkNJc,hmqTQM,CHV,F,"70000.0","100000.0",2012
Hvh0S6xx,hmqTQM,NE,F,"145000.0","175000.0",2013
BkkK7P1s,hmqTQM,NE,F,"400000.0","427500.0",2015
rlr8mwRK,hmqTQM,NE,F,"425000.0","452500.0",2016
ECGqtdEI,hmqTQM,NE,F,"475000.0","502500.0",2017
RjcoejMC,hmqTQM,NE,F,"575000.00","602500.00",2018
UDTyDXTe,hmqTQM,NE,F,"574999.92","604999.92",2019
O7ZLPoVX,hmqTQM,MIA,F,"300000.00","300000.00",2020
JPNfLmEg,hmqTQM,MNUFC,F,"200000.00","212500.00",2021
uVKsYjsx,16fqIL,DAL,M,"272727.24","328127.24",2018
v9L6MpMv,9adp5w,DC,M,"60000.0","60000.0",2015
9xKuCQPn,9adp5w,DC,M,"63000.0","63000.0",2016
13uk3GgP,GsRwD3,ORL,M,"63547.00","63547.00",2021
wi1kt1cV,hiqyN8,LA,M-F,"63547.00","63547.00",2021
JrUYpSzi,hiqyN8,LA,M-F,"66724.00","66724.00",2022
UIJH01ba,hiqyN8,LA,M,"85444.00","85444.00",2023
ZyUaCKP9,I2JfNC,CLT,F,"67360.00","67360.00",2023
OtFRCHLg,I2JfNC,CLT,F,"71401.00","71401.00",2024
vdMrndCC,I2JfNC,CLT,F,"104000.00","104000.00",2025 Sp
BN8SAgWE,cDNnlL,VAN,M,"85444.00","94819.00",2023
gLIYsUlM,cDNnlL,VAN,M,"100000.00","109375.00",2024
nmCZPZWy,cDNnlL,VAN,M,"150000.00","159375.00",2025 Sp
JyP1xqHV,0VZrYj,ORL,F,"252000.00","267500.00",2020
blkda3PU,0VZrYj,ORL,F,"252000.00","267500.00",2021
lu9CoQdL,09jr8D,VAN,D-M,"51500.0","58625.0",2016
84tLfBB0,RKWdDW,KC,D,"40000.0","40000.0",2010
P4zZzL53,RKWdDW,KC,D,"42000.0","42000.0",2011
tH1Vdzlf,RKWdDW,KC,D,"44100.0","44100.0",2012
51iKKt93,PlDS26,ORL,D,"216000.0","216000.0",2017
faWa0wYJ,PlDS26,VAN,D,"240000.00","240000.00",2018
DoQ1aOS8,PlDS26,MNUFC,D,"81375.00","94708.00",2020
wa7utuTQ,F8jyF7,NSH,F,"71401.00","71401.00",2024
nHAcwaMk,F8jyF7,RSL,F,"80622.00","80622.00",2025 Sp
dfxeySOS,qYyCmy,SJ,D,"54500.04","56500.04",2018
23nj8hAN,qYyCmy,SJ,D,"62225.04","64225.04",2019
3b1IreMI,qYyCmy,SJ,D,"85000.00","87000.00",2020
evvZkms5,qYyCmy,SJ,D,"105000.00","107000.00",2021
g9LbXoY2,tjLJcr,SJ,D,"500000.00","545111.00",2022
hs2R6kou,tjLJcr,SJ,D,"525000.00","570111.00",2023
9fPFDX0r,tjLJcr,SJ,D,"550000.00","595111.00",2024
fxyECio1,X075lQ,TOR,M,"1190000.04","1295000.04",2018
0qejnqvN,ct6553,DAL,F,"48500.0","48500.0",2014
gsNbe9Vi,ct6553,DAL,F,"70000.0","87500.0",2015
SA43CiiL,ct6553,DAL,M-F,"90000.0","107500.0",2016
WfZaX5BM,ct6553,DAL,F-M,"95000.0","112500.0",2017
NKTXtXMJ,ct6553,DAL,F-M,"105000.00","122500.00",2018
QlyMDHn5,ct6553,ORL,F,"150000.00","150000.00",2019
w1ZeWRpf,ct6553,ORL,F,"200000.00","215000.00",2020
5O5VKu1I,ct6553,ORL,F,"275000.00","290000.00",2021
8Jpkg5Kf,ct6553,ORL,F,"325000.00","340000.00",2022
AWRrfzkY,h0UkXf,DC,D,"65500.00","75000.00",2022
G3YByLrs,h0UkXf,DC,D,"67360.00","76860.00",2023
CL9tBr92,h0UkXf,DC,D,"89716.00","99216.00",2024
ifECzIHC,6iGEK4,TOR,F,"54504.00","140504.00",2018
UaWuNDFZ,6iGEK4,TOR,F,"56256.00","124256.00",2019
TwLgtBLC,6iGEK4,TOR,F,"81375.00","149375.00",2020
V9tNao9k,6iGEK4,TOR,F,"89513.00","157513.00",2021
8SEcQckY,6iGEK4,TOR,F,"600000.00","671875.00",2022
uFgGxLLZ,6iGEK4,SJ,F,"700000.00","771875.00",2023
3Oh12Rrf,F55CRS,VAN,D,"150000.0","150000.0",2011
tMzTw48x,1Mhg8o,COL,F,"40000.0","65000.0",2010
NXDzdVCr,1Mhg8o,COL,F,"48000.0","48000.0",2011
KtvEiLnq,1Mhg8o,COL,F,"57200.0","57200.0",2012
IRrwkdpt,1Mhg8o,RBNY,F,"67595.0","67595.0",2013
h5dUX7WP,1Mhg8o,NE,F,"48500.0","51333.33",2014
sC719cih,gyoiVU,CIN,D,"67360.00","69860.00",2023
GF2A0GuS,gyoiVU,CIN,D,"71401.00","73901.00",2024
7jRXBpzr,btTzZf,LA,GK,"12900.0","12900.0",2008
cpkWsiCe,uW6mvm,SJ,D,"450000.00","550000.00",2020
NF6IJ75Z,uW6mvm,SJ,D,"630000.00","730000.00",2021
dbS4L0JD,k2gTEp,SJ,M,"90000.0","91250.0",2013
rW8i7Cs8,GLa7vF,SJ,M,"60000.0","76250.0",2015
dw963Ggi,GLa7vF,SJ,M,"74250.0","90500.0",2016
1YNeofSn,GLa7vF,SJ,M,"98175.0","114425.0",2017
Vu7TO0Ee,GLa7vF,CIN,M,"107992.50","124242.50",2018
JnOdNr66,GLa7vF,CIN,D-M,"189999.96","189999.96",2019
j3IBEEii,GLa7vF,CLB,M,"210000.00","210000.00",2020
ZF7gwM6V,YjSshJ,MIA,D,"1000000.00","1250000.00",2023
NW6icdlL,YjSshJ,MIA,D,"1250000.00","1500000.00",2024
LmVE0kYe,YjSshJ,MIA,D,"6000000.00","6000000.00",2025 Sp
LhiBN9Zd,U1ivbJ,CIN,M-F,"70250.04","70250.04",2019
FUDpSLln,xj3rSl,PHI,M,"328000.0","377250.0",2016
97J9OIen,xj3rSl,PHI,M,"345000.0","394250.0",2017
jEnMjg1Q,lT1hxi,LA,M-D,"142500.0","142500.0",2007
Q1X4l8a9,lT1hxi,NE,D,"160000.0","160000.0",2008
QjNvmm9m,lT1hxi,NE,D,"176000.0","176000.0",2009
CAdcVpOo,lT1hxi,RBNY,D,"84000.0","84000.0",2010
uQHYpWxx,lT1hxi,RBNY,D,"100800.0","104133.33",2011
3TxEwOAo,lT1hxi,PHI,D,"55000.0","55000.0",2012
sw1c4kc2,lT1hxi,PHI,D,"75000.0","75000.0",2013
36yCh0zf,jdA93g,HOU,M,"12900.0","12900.0",2008
CkiiocSY,mQEgGV,CLT,M,"235000.00","325600.00",2022
1w4duXkr,qrDaSX,VAN,M,"60000.0","75000.0",2012
NTOXVkh1,qrDaSX,VAN,M,"65000.0","80000.0",2013
vxHgDepB,qrDaSX,VAN,M,"100000.0","115000.0",2014
O8KAYr2d,VUxBAF,LA,M,"1669400.64","1999400.64",2017
at2rcprS,VUxBAF,LA,M,"1539996.00","1869996.00",2018
gsVEEOUS,VUxBAF,LA,M-F,"1610004.00","1940004.00",2019
hrU4kefI,b7Hov0,CHI,M,"96000.0","105950.0",2012
RjQnqcue,b7Hov0,CHI,M,"110000.0","119950.0",2013
JGvlrFgh,b7Hov0,CHI,M,"123750.0","133700.0",2014
0ZZNbKXF,b7Hov0,HOU,M,"142000.0","142000.0",2015
nvBddUtx,b7Hov0,HOU,M,"152000.0","152000.0",2016
L9hvwhoM,b7Hov0,HOU,M,"170000.0","170000.0",2017
UUbsC5FL,72H2pR,DAL,M,"40000.0","40000.0",2010
AR1iDFIa,72H2pR,POR,M,"46750.0","46750.0",2011
Vr0tniTi,72H2pR,POR,M,"56925.0","56925.0",2012
IrKwGnwC,72H2pR,RBNY,M,"70867.5","70867.5",2013
A7hgZVSJ,72H2pR,RBNY,M,"115000.0","128750.0",2014
TQ1FyMFs,72H2pR,MTL,M,"140000.0","153750.0",2015
QgEOLb1l,72H2pR,MTL,M,"165000.0","178750.0",2016
kOqIoW18,72H2pR,HOU,M,"190000.0","203750.0",2017
weCvqaOC,72H2pR,HOU,M,"260004.00","260004.00",2018
etqOYnHL,72H2pR,DAL,M,"270000.00","270000.00",2019
TDktXpur,EEcgEA,RBNY,D,"71401.00","86111.00",2024
nko4wJgh,EEcgEA,RBNY,D,"80622.00","95332.00",2025 Sp
HK1Mffzk,RWLqRu,RSL,M,"34000.0","34000.0",2009
kpPdG9Zx,RWLqRu,RSL,M,"40000.0","40000.0",2010
ZpqzhRdQ,RWLqRu,RSL,M,"42000.0","42000.0",2011
xFDwLbqA,RWLqRu,SJ,M,"44100.0","44100.0",2012
S4fAEDSY,wM9usq,VAN,M,"500000.00","539583.00",2021
wwKqxIC4,wM9usq,VAN,M,"500000.00","562500.00",2022
QlBJpYag,wM9usq,VAN,M,"500000.00","562500.00",2023
V16iPm8F,Laca5f,SEA,D,"51500.0","51500.0",2016
WxF9AKjp,Laca5f,SEA,D,"54075.0","54075.0",2017
RnFquRho,Laca5f,SEA,D,"67500.00","67500.00",2018
kH6fxXbC,Laca5f,DC,D,"81375.00","81375.00",2021
yOnwlQO5,Laca5f,DC,D,"89513.00","89513.00",2022
B5DyqQPF,Laca5f,LA,D,"120000.00","120000.00",2023
FVAYpv2I,xakikZ,POR,M,"60000.0","69250.0",2011
OKRMzIUf,xakikZ,POR,M,"70000.0","79250.0",2012
GolpWgjC,xakikZ,POR,M,"80000.0","89250.0",2013
61CDRMyD,xakikZ,POR,M,"120000.0","120000.0",2014
zMwmlCDz,TZXKIo,CHI,F,"399996.00","621497.00",2020
21C6FQqu,TZXKIo,CHI,M,"600000.00","821501.00",2021
04dX7ETq,yftAuU,HOU,F,"425004.00","476383.00",2023
Ipgx0nSi,yftAuU,HOU,F,"450000.00","501379.00",2024
1stwtR78,yftAuU,CLB,F,"474996.00","526375.00",2025 Sp
pbkw6o8h,7vI7xt,RBNY,F,"62500.0","62500.0",2016
EWWKlk9x,7vI7xt,RBNY,F,"65625.0","65625.0",2017
PYMCrDv3,o1W5f0,LA,F,"12900.0","12900.0",2008
s3whV9Ju,o1W5f0,DC,F-M,"15300.0","15300.0",2009
f9j83KaJ,sW8hQB,RSL,M/F,"80000.0","90000.0",2014
kxlCjIts,sW8hQB,RSL,M/F,"80000.0","90000.0",2015
oyZwEU6a,sW8hQB,RSL,M,"100000.0","110000.0",2016
nEsUZ8e9,sW8hQB,RSL,M,"178000.0","178000.0",2017
cA35lBBn,sW8hQB,RSL,M,"225000.00","225000.00",2018
fm8RZgRU,sW8hQB,RSL,M-F,"237999.96","237999.96",2019
6WAXDXPX,EXqzb8,MIA,D,"65500.00","67167.00",2022
Iu5sjSmk,EXqzb8,MIA,D,"67360.00","67360.00",2023
RRGUyMbm,EXqzb8,MIA,D,"89716.00","91383.00",2024
kcX49XeA,EXqzb8,MIA,D,"125000.00","126667.00",2025 Sp
a3pkFgPN,lVX5bR,NYC,D,"60000.0","60000.0",2015
hNv7K1dy,lVX5bR,NYC,D,"63000.0","63000.0",2016
nNcWv80T,lVX5bR,NYC,D,"100000.08","101666.75",2017
wKNCRweC,lVX5bR,ORL,D,"90000.00","90000.00",2018
AqrKLpzV,lVX5bR,PHI,D,"70250.04","70250.04",2019
TCSRtl2K,KMJZpr,MIA,F,"1000000.00","1000000.00",2025 Sp
o0L8CV7l,KNnrPD,DC,F,"180000.0","217500.0",2010
gUOI5oLf,xM1v5i,STL,M,"220000.00","284425.00",2023
QxnfSkZ8,xM1v5i,STL,F,"265500.00","329925.00",2024
hV5GF2uy,xM1v5i,STL,F,"279500.00","343925.00",2025 Sp
89bmsdQo,upmumv,ATL,M-F,"1650000.00","2332000.00",2022
4REXeC9X,upmumv,ATL,M-F,"1650000.00","2332000.00",2023
rn89UFp3,TZPL5W,ATL,M,"1912500.0","2297000.0",2017
W8NIOyby,TZPL5W,ATL,M,"1912500.00","2297000.00",2018
tTz3wqO6,TZPL5W,ATL,F,"6056000.00","7871000.00",2025 Sp
G378s580,Ft7ha9,SEA,M,"65000.0","65000.0",2009
JCDIWNwm,Ft7ha9,SEA,M,"67925.0","68737.5",2010
535IGzHB,Ft7ha9,SEA,M,"140000.0","140000.0",2011
VvDVMsSI,Ft7ha9,SEA,M,"185000.0","185000.0",2012
YOgG0evL,Ft7ha9,SEA,M,"210000.0","210000.0",2013
trgbcLOy,Ft7ha9,SEA,M,"400000.0","400000.0",2014
F2zUVstZ,Ft7ha9,SEA,M,"748000.0","789667.0",2015
Gn0xAIul,Ft7ha9,SEA,M,"900000.0","941667.0",2016
2YWDL984,Ft7ha9,SEA,M,"1100000.0","1141667.0",2017
N0m31iFP,Ft7ha9,SEA,M,"1100000.04","1141667.04",2018
Gj3E3Bqg,Ft7ha9,MNUFC,D-M,"650000.04","697500.04",2019
H8VoJJ4V,Ft7ha9,MNUFC,M,"625000.00","672500.00",2020
4gIi8T4v,Ft7ha9,MNUFC,M,"300000.00","322000.00",2021
YDrkRB99,Ft7ha9,ATL,M,"84000.00","84000.00",2022
ZOnxCGWR,Ft7ha9,ATL,D-M,"88200.00","88200.00",2023
sgGCiDHN,l0BLwL,TOR,M-D,"53004.0","53004.0",2017
AkvwRyN1,zFev5o,NE,D,"55000.0","104000.0",2009
4j13z7cx,zFev5o,NE,D,"75000.0","124000.0",2010
7rI0Qwlk,zFev5o,NE,D,"100000.0","149000.0",2011
NIVTgCR2,zFev5o,NE,D,"120000.0","169000.0",2012
SgjiEigZ,zFev5o,NE,D,"145000.0","194000.0",2013
IKpkHtnX,zFev5o,NE,D,"125000.0","143333.33",2014
B2Slo8q3,zFev5o,NE,D,"140000.0","158333.33",2015
RYZKPYYz,zFev5o,ORL,D,"130000.0","130000.0",2016
jUCsPJMC,zFev5o,ORL,D,"135000.0","135000.0",2017
k77GlseW,exDZL5,RBNY,F,"85000.0","108333.0",2007
sDH1YwJd,exDZL5,TOR,F,"4750000.0","4750000.0",2015
mZED7bRu,exDZL5,TOR,F,"4825000.0","4825000.0",2016
8RzwpkaD,exDZL5,TOR,F,"4875000.0","4875000.0",2017
hmX0PCSo,exDZL5,TOR,F,"5000000.00","5000000.00",2018
HbKNHGad,exDZL5,TOR,F,"4891250.04","6332250.04",2019
EzBRzotj,exDZL5,TOR,F,"2161250.00","3602250.00",2020
e8RDq1u6,exDZL5,TOR,F,"2161250.00","3602250.00",2021
JgSba8kU,exDZL5,NE,F,"3706139.00","4264963.00",2022
8HfOTlSr,exDZL5,MLS,F,"2381139.00","2939963.00",2023
bAKN7UxV,exDZL5,MLS,F,"1683750.00","2242574.00",2024
e6hoeK6s,vYniWe,SD,M,"80622.00","88144.00",2025 Sp
DusiqTb3,fETdrd,ORL,F,"220000.00","220000.00",2020
NIz0ekzG,fETdrd,ORL,F,"220000.00","238240.00",2021
VocCbLcJ,fETdrd,ORL,F,"300000.00","318240.00",2022
wjA0K2ep,MjgYGm,LA,D,"32604.0","32604.0",2011
5Cfu12nQ,lkMdsm,MIA,D,"81375.00","124708.00",2021
WOsxSFQG,hkhSIU,PHI,M-F,"240000.00","253000.00",2021
nYyTEl1j,uTdv40,DAL,M,"32819.0","46019.0",2007
2aBvzgmR,uTdv40,SJ,M,"166250.0","175587.5",2008
KNjBw72o,uTdv40,SJ,M-F,"174750.0","184087.5",2009
X8YixrJ6,uTdv40,SJ,M-F,"183338.0","192675.5",2010
Tpq0tBeS,uTdv40,RSL,M-F,"192585.0","201922.5",2011
0oiNCCam,uTdv40,CHI,F,"115000.0","118264.0",2016
hopHJLgE,uTdv40,CHI,M,"135000.0","142500.0",2017
MT5ERqqo,uTdv40,HOU,M,"150000.00","157500.00",2018
9b0KSPb4,dDybVh,CHV,M,"46500.0","81500.0",2013
5UmhSXH1,dDybVh,COL,M,"73150.0","108150.0",2014
Hee0qoS9,dDybVh,COL,M,"70000.0","70000.0",2015
0R31GSBI,dDybVh,LAFC,M,"65004.0","65004.0",2017
kLGqTqpk,xzvhgK,LA,M,"67500.00","72233.84",2018
BPtZhDx6,xzvhgK,LA,M-F,"70872.00","75605.80",2019
5HqFIbrF,xzvhgK,LA,M,"90000.00","94734.00",2020
plX6SxVF,xzvhgK,LA,M,"500000.00","612167.00",2021
ZAvJ06Kd,xzvhgK,LA,M,"600000.00","706250.00",2022
y339Wjxa,5d2okM,LA,M-F,"525000.00","586250.00",2019
yLF3WjFW,lJ8xL5,MTL,D,"85444.00","117444.00",2023
