RecordID,PlayerID,Club,Position,BaseSalary,GuaranteedComp,Year
ofMWz4kP,NQws6p,SEA,M,"1800000.00","2302500.00",2018
y0eVtLtA,NQws6p,SEA,M-F,"2000000.04","2502500.04",2019
UcYHZiep,NQws6p,SEA,M,"2120000.00","2622500.00",2020
Q95JmDAK,NQws6p,SEA,M,"2120000.00","2736667.00",2021
vq3SPzuK,NQws6p,SEA,M,"2640000.00","3256667.00",2022
riIB4HAa,NQws6p,SEA,M-F,"2640000.00","3256667.00",2023
gATxFBhw,NQws6p,ORL,M,"800000.00","800000.00",2024
pFUOq6Px,NQws6p,HOU,M,"200000.00","200000.00",2025 Sp
uxNEMKTi,kyq2MP,ORL,M,"90000.00","92500.00",2020
J5bxIYxs,kyq2MP,ORL,M,"100000.00","102500.00",2021
UKEc8VtG,4BEaUO,NE,D,"42000.0","42000.0",2011
avTRG7tF,WSa7c8,RSL,M,"84000.00","84000.00",2022
0SY1GIIp,WSa7c8,RSL,M,"96600.00","96600.00",2023
3WDWcZeh,WSa7c8,COL,M,"230000.00","255833.00",2024
5NSc0VBl,WSa7c8,SD,M,"255000.00","280833.00",2025 Sp
Bma5wil7,DyJPVf,NE,F,"12900.0","12900.0",2007
ELoYqgQN,C4pCXq,TOR,F,"30000.0","30000.0",2007
z3DL9W7i,Z33fQJ,SEA,M,"36504.0","36504.0",2014
0jZefB0W,Z33fQJ,RBNY,D,"65000.0","65000.0",2017
arpYyDT8,Z33fQJ,RBNY,D,"73125.00","73125.00",2018
H9FlDumT,Z33fQJ,RBNY,D,"770000.04","800000.04",2019
DekIvVL3,Z33fQJ,RBNY,D,"835000.00","865000.00",2020
3Ofq3oGD,Z33fQJ,RBNY,D,"895000.00","925000.00",2021
9px6Dymk,Z33fQJ,RBNY,D,"1050000.00","1080000.00",2022
ZLaeFO3J,Z33fQJ,LAFC,D,"1199772.00","1243056.00",2023
vi15jkz6,Z33fQJ,LAFC,D,"1259760.00","1303044.00",2024
LKjSKo54,Z33fQJ,LAFC,D,"445000.00","1050000.00",2025 Sp
nRFijfjK,3KsqjK,TOR,D,"250000.00","277500.00",2024
vlQ9hjzn,3KsqjK,TOR,D,"430000.00","468521.00",2025 Sp
00EUIIkg,a8mbRq,NSH,M-D,"65500.00","65500.00",2022
4N0aq60a,a8mbRq,NSH,D,"67360.00","67360.00",2023
XksPttkz,lj8kGm,TOR,M,"197000.00","216378.00",2024
