FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp
Freddy,Adu,Philadelphia Union,M,"400000.0","519000.0"
Juan,Agudelo,Chivas USA,F,"70000.0","100000.0"
Olukorede,Aiyegbusi,Sporting Kansas City,D,"44100.0","44100.0"
Andre,Akpan,Colorado Rapids,F,"57200.0","57200.0"
Chris,Albright,Philadelphia Union,D,"55000.0","55000.0"
Bryce,Alderson,Vancouver Whitecaps,M,"60000.0","75000.0"
,Alex,Chicago Fire,M,"96000.0","105950.0"
Eric,Alexander,Portland Timbers,M,"56925.0","56925.0"
Jean,Alexandre,San Jose Earthquakes,M,"44100.0","44100.0"
Kalif,Alhassan,Portland Timbers,M,"70000.0","79250.0"
Osvaldo,Alonso,Seattle Sounders FC,M,"185000.0","185000.0"
Kevin,Alston,New England Revolution,D,"120000.0","169000.0"
Yordany,Alvarez,Real Salt Lake,M,"44100.0","44100.0"
Quincy,Amarikwa,Toronto FC,F,"44100.0","44100.0"
Anthony,Ampaipitakwong,San Jose Earthquakes,M,"44000.0","44000.0"
Juan Pablo,Angel,Chivas USA,F,"350000.0","600000.0"
Scott,Angevine,MLS Pool,GK,"33756.0","33756.0"
Jose,Angulo,New York Red Bulls,F,"33750.0","33750.0"
Jalil,Anibaba,Chicago Fire,D,"65450.0","105450.0"
Bernardo,Anor,Columbus Crew,M,"44100.0","44100.0"
Paulo,Araujo Jr.,Real Salt Lake,F,"65000.0","65000.0"
Bryan,Arguez,CF Montreal,D/M,"65000.0","65000.0"
David,Armstrong,Colorado Rapids,M,"44100.0","53564.29"
Davy,Arnaud,CF Montreal,M,"275000.0","290000.0"
Jairo,Arrieta,Columbus Crew,F,"216000.0","225375.0"
Jhonny,Arteaga,New York Red Bulls,F,"44000.0","44000.0"
Corey,Ashe,Houston Dynamo,M,"90000.0","94500.0"
Raphael,Augusto,DC United,M,"44004.0","44004.0"
Eric,Avila,Toronto FC,M,"125000.0","158000.0"
Rafael,Baca,San Jose Earthquakes,M,"44000.0","44000.0"
Rich,Balchan,Columbus Crew,D,"51700.0","68575.0"
Mehdi,Ballouchy,San Jose Earthquakes,M,"138188.0","138188.0"
Etienne,Barbara,Vancouver Whitecaps,F,"87500.0","87500.0"
Brandon,Barklage,New York Red Bulls,M,"44000.0","45566.67"
Darrius,Barnes,New England Revolution,D,"68063.0","69313.0"
Giles,Barnes,Houston Dynamo,M,"120000.0","132750.0"
Orr,Barouch,Chicago Fire,F,"44000.0","44000.0"
Chad,Barrett,LA Galaxy,F,"220000.0","253333.33"
Kyle,Beckerman,Real Salt Lake,M,"300000.0","311250.0"
David,Beckham,LA Galaxy,M,"3000000.0","3999999.96"
Steven,Beitashour,San Jose Earthquakes,D,"44100.0","44100.0"
Anthony,Beltran,Real Salt Lake,D,"125000.0","160500.0"
Joe,Bendik,Portland Timbers,GK,"44000.0","44000.0"
Jerry,Bengston,New England Revolution,F,"120000.0","126840.0"
Jair,Benitez,FC Dallas,D,"80000.0","80000.0"
Victor,Bernardez,San Jose Earthquakes,D,"100000.0","100000.0"
Patrice,Bernier,CF Montreal,F-M,"130000.0","149333.25"
Austin,Berry,Chicago Fire,D,"44000.0","59000.0"
Matt,Besler,Sporting Kansas City,D,"91751.0","103001.0"
David,Bingham,San Jose Earthquakes,GK,"71000.0","115375.0"
Chris,Birchall,Columbus Crew,M,"102000.0","109000.0"
Miller,Bolanos,Chivas USA,M,"48000.0","48000.0"
Corben,Bone,Chicago Fire,M,"100000.0","161200.0"
Emiliano,Bonfigli,Real Salt Lake,F,"44000.0","44000.0"
Fernando,Bonjour,Vancouver Whitecaps,D,"192000.0","276987.5"
Nat,Borchers,Real Salt Lake,D,"200004.0","211972.75"
Jonathan,Borrajo,New York Red Bulls,M-D,"44000.0","44000.0"
Branko,Boskovic,DC United,M,"195240.0","242340.0"
Bobby,Boswell,Houston Dynamo,D,"200000.0","200000.0"
Tristan,Bowen,Chivas USA,F,"100000.0","131363.63"
Kris,Boyd,Portland Timbers,F,"1250000.0","1515000.0"
Andrew,Boyens,LA Galaxy,D,"62500.0","65783.33"
Frederick,Braun,Portland Timbers,M,"44000.0","44000.0"
Justin,Braun,Real Salt Lake,F,"102000.0","104500.0"
Blake,Brettschneider,New England Revolution,F,"33756.0","33756.0"
Jeb,Brovsky,CF Montreal,M,"33750.0","33750.0"
Will,Bruin,Houston Dynamo,F,"90000.0","135000.0"
Eric,Brunner,Portland Timbers,D,"100000.0","100625.0"
Edson,Buddle,LA Galaxy,F,"225000.0","225000.0"
Teal,Bunbury,Sporting Kansas City,F,"100000.0","198000.0"
Marc,Burch,Seattle Sounders FC,D,"65000.0","65000.0"
Bobby,Burling,Chivas USA,D,"48000.0","51333.33"
Jon,Busch,San Jose Earthquakes,GK,"155004.0","166337.33"
Evan,Bush,CF Montreal,GK,"44000.0","44000.0"
Tim,Cahill,New York Red Bulls,M,"3499999.92","3624999.92"
Danny,Califf,Chivas USA,D,"275000.0","275000.0"
Hassoun,Camara,CF Montreal,D/M,"75000.0","75000.0"
