FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp
Jared,Jeffrey,DC United,M,"68250.0","74450.0"
Jack,Jewsbury,Portland Timbers,D,"120000.0","137500.0"
Hector,Jimenez,Columbus Crew,M,"90000.0","90000.0"
Eirik,Johansen,New York City FC,GK,"50000.04","50000.04"
Jason,Johnson,Chicago Fire,F,"90000.0","131000.0"
Sean,Johnson,Chicago Fire,GK,"250000.0","253000.0"
Will,Johnson,Portland Timbers,F,"314000.0","334333.33"
Darwin,Jones,Seattle Sounders FC,F,"60000.0","66250.0"
Jermaine,Jones,New England Revolution,M,"2800000.0","3052500.0"
Joevin,Jones,Chicago Fire,M,"60000.0","66166.67"
,Juninho,LA Galaxy,M,"350000.0","350000.0"
Gilberto,Junior,Chicago Fire,F,"1144992.0","1144992.0"
Pa Modou,Kah,Vancouver Whitecaps,D,"170000.0","170000.0"
,Kaka,Orlando City SC,M,"6660000.0","7167500.0"
Kei,Kamara,Columbus Crew,F,"400000.0","536666.67"
Alec,Kann,Chicago Fire,GK,"60000.0","60000.0"
Ahmed,Kantari,Toronto FC,D,"300000.0","345000.0"
Phanuel,Kavita,Real Salt Lake,D,"50000.0","50000.0"
Robbie,Keane,LA Galaxy,F,"4500000.0","4500000.0"
Stephen,Keel,FC Dallas,D,"60000.0","60000.0"
Taylor,Kemp,DC United,D,"60000.0","60000.0"
Jonathan,Kempin,Sporting Kansas City,GK,"85000.0","92083.33"
Dan,Kennedy,FC Dallas,GK,"233000.0","233000.0"
Perry,Kitchen,DC United,D,"172000.0","257450.0"
Sacha,Kljestan,New York Red Bulls,M,"400000.0","537500.0"
Chris,Klute,Columbus Crew,D,"82500.0","87802.09"
Brad,Knighton,New England Revolution,GK,"82005.0","82005.0"
Daigo,Kobayashi,New England Revolution,M,"135000.0","146666.67"
Gershon,Koffie,Vancouver Whitecaps,M,"230000.0","241000.0"
Chris,Konopka,Toronto FC,GK,"66000.0","66000.0"
Chris,Korb,DC United,D,"99000.0","106479.83"
JJ,Koval,San Jose Earthquakes,M,"60000.0","60000.0"
Aaron,Kovar,Seattle Sounders FC,M,"60000.0","60200.0"
Eric,Kronberg,CF Montreal,GK,"132000.0","132000.0"
Adam,Kwarasey,Portland Timbers,GK,"260000.0","260000.0"
Matias,Laba,Vancouver Whitecaps,M,"325000.0","325000.0"
Nick,LaBrocca,Colorado Rapids,M,"160000.0","180000.0"
Connor,Lade,New York Red Bulls,D,"60638.0","64891.01"
Michael,Lahoud,Philadelphia Union,M,"108900.0","112233.33"
Valdomiro,Lameira,Orlando City SC,M,"50000.0","50000.0"
Frank,Lampard,New York City FC,M,"6000000.0","6000000.0"
Matt,Lampson,Columbus Crew,GK,"60000.0","60000.0"
Jeff,Larentowicz,Chicago Fire,D,"265000.0","271000.0"
Cyle,Larin,Orlando City SC,F,"125000.0","167000.0"
Kemar,Lawrence,New York Red Bulls,D,"60000.0","60000.0"
Sebastien,Le Toux,Philadelphia Union,M,"275000.0","285228.13"
Wandrille,Lefevre,CF Montreal,M,"60000.0","60000.0"
Steven,Lenhart,San Jose Earthquakes,F,"150000.0","159083.33"
Sagi,Lev-Ari,Columbus Crew,F,"60000.0","60000.0"
Andre,Lewis,Vancouver Whitecaps,M,"60000.0","75000.0"
Michael,Lisch,Houston Dynamo,GK,"60000.0","60000.0"
Sebastian,Lletget,LA Galaxy,M,"95000.04","100500.04"
Tony,Lochhead,MLS Pool,D,"134375.0","134375.0"
Alexander,Lopez,Houston Dynamo,M,"115500.0","135500.0"
Mikey,Lopez,Sporting Kansas City,M,"100000.0","172000.0"
Rob,Lovejoy,Houston Dynamo,M,"50000.0","50000.0"
Daniel,Lovitz,Toronto FC,M,"60000.0","60000.0"
Damion,Lowe,Seattle Sounders FC,D,"60375.0","71375.0"
Zach,Loyd,FC Dallas,M,"175000.0","196666.67"
Charlie,Lyon,Seattle Sounders FC,GK,"50000.0","50000.0"
Cedrick,Mabwati,Columbus Crew,M,"201428.52","220178.52"
Zac,MacMath,Colorado Rapids,GK,"130000.0","130000.0"
