FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp
Thiago,Almada,Atlanta United,M-F,1650000.00,2332000.00
Osvaldo,Alonso,Atlanta United,M,84000.00,84000.00
Mikey,Ambrose,Atlanta United,D,85444.00,85444.00
Luiz,Araujo,Atlanta United,F-M,3600000.00,4480333.00
Ezequiel,Barco,Atlanta United,M,2200000.00,2200000.00
George,Campbell,Atlanta United,D,98000.00,98000.00
Dylan,Castanheira,Atlanta United,GK,85444.00,85444.00
Erik,Centeno,Atlanta United,D,65500.00,75276.00
Machop,Chol,Atlanta United,M,65500.00,65500.00
Ronaldo,Cisneros,Atlanta United,F,244000.00,244000.00
Jackson,Conway,Atlanta United,F,84000.00,84000.00
Alex,De John,Atlanta United,D,85444.00,85444.00
Dom,Dwyer,Atlanta United,F,84000.00,84000.00
Alan,Franco,Atlanta United,D,540000.00,667500.00
Justin,Garces,Atlanta United,GK,65500.00,65500.00
Raúl,Gudiño,Atlanta United,GK,200000.00,247333.00
Andrew,Gutman,Atlanta United,D,300000.00,331250.00
Brad,Guzan,Atlanta United,GK,445716.00,458216.00
Ronald,Hernandez,Atlanta United,D,300000.00,300000.00
Emerson,Hyndman,Atlanta United,M,657143.00,657143.00
Franco,Ibarra,Atlanta United,D-M,450000.00,520000.00
Brooks,Lennon,Atlanta United,D,500000.00,500000.00
Erik,Lopez Samaniego,Atlanta United,F,360000.00,528300.00
Josef,Martinez,Atlanta United,F,3750000.00,4141667.00
Aiden,McFadden,Atlanta United,D,65500.00,65500.00
Efrain,Morales,Atlanta United,D,65500.00,65500.00
Marcelino,Moreno,Atlanta United,F-M,460000.00,568333.00
Edwin,Mosquera,Atlanta United,M-F,300000.00,337000.00
Juan Jose,Purata,Atlanta United,D,400000.00,483500.00
Rocco,Rios-Novo,Atlanta United,GK,108000.00,115530.00
Miles,Robinson,Atlanta United,D,700000.00,737500.00
Matheus,Rossetto,Atlanta United,M,550000.00,662500.00
Amar,Sejdic,Atlanta United,M,85444.00,85444.00
Santiago,Sosa,Atlanta United,M-F,525000.00,643100.00
Bryce,Washington,Atlanta United,D,65500.00,65500.00
Caleb,Wiley,Atlanta United,D,65500.00,67100.00
Tyler,Wolﬀ,Atlanta United,F-M,110000.00,114500.00
Carlos,Asensio,Austin FC,D,65500.00,65500.00
Julio,Cascante,Austin FC,D,310000.00,337500.00
Washington,Corozo,Austin FC,F,300000.00,327500.00
Moussa,Djitte,Austin FC,F,550000.00,550000.00
Sebastian,Driussi,Austin FC,F,2200000.00,2317000.00
Diego,Fagundez,Austin FC,M,450000.00,450000.00
Ethan,Finlay,Austin FC,M,350000.00,350000.00
Ruben,Gabrielsen,Austin FC,D,950000.00,950000.00
Jon,Gallagher,Austin FC,D,155000.00,155000.00
Danny,Hoesen,Austin FC,F,650000.00,716667.00
Hector,Jimenez,Austin FC,D,200000.00,200000.00
Kipp,Keller,Austin FC,D,84000.00,96500.00
Freddy,Kleeman,Austin FC,D,66724.00,66724.00
Zan,Kolmanic,Austin FC,D,300000.00,300000.00
Damian,Las,Austin FC,GK,65500.00,65500.00
Nick,Lima,Austin FC,D,350000.00,350000.00
Felipe,Martins,Austin FC,M,84000.00,84000.00
Danny,Pereira,Austin FC,M,84000.00,102258.00
Tomas,Pochettino,Austin FC,M,525000.00,585000.00
William,Pulisic,Austin FC,GK,66724.00,66724.00
Rodney,Redes,Austin FC,F,412500.00,412500.00
Emiliano,Rigoni,Austin FC,M,1846152.00,2294152.00
Alexander,Ring,Austin FC,M,1500000.00,1640000.00
Jhohan,Romana,Austin FC,D,440000.00,440000.00
Jared,Stroud,Austin FC,M,84000.00,84000.00
Brad,Stuver,Austin FC,GK,175000.00,185000.00
Andrew,Tarbell,Austin FC,GK,300000.00,308333.00
Maximiliano,Urruti,Austin FC,F,625000.00,661250.00
Jhojan,Valencia,Austin FC,M,355000.00,400125.00
Owen,Wolﬀ,Austin FC,M,65500.00,78553.00
Jean-Aniel,Assi,CF Montreal,M,66724.00,74104.00
