FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp
Aleksey,Miranchuk,Atlanta United,M,2400000.00,3685441.00
Matthew,Edwards,Atlanta United,D,71401.00,71401.00
Pedro,Amador,Atlanta United,D,207000.00,242612.00
Daniel,Ríos,Atlanta United,F,89716.00,126383.00
Stian,Gregersen,Atlanta United,D,1000000.00,1120000.00
Dax,McCarty,Atlanta United,M,225000.00,256250.00
Bartosz,Slisz,Atlanta United,M,630000.00,830000.00
Derrick,Williams,Atlanta United,D,400000.00,447500.00
Quentin,Westberg,Atlanta United,GK,89716.00,109716.00
Josh,Cohen,Atlanta United,GK,265000.00,303500.00
Efraín,Morales,Atlanta United,D,89716.00,97735.00
Luke,Brennan,Atlanta United,F,71401.00,71401.00
Nick,Firmino,Atlanta United,M,71401.00,71401.00
Saba,Lobjanidze,Atlanta United,F,900000.00,998750.00
Xande,Silva,Atlanta United,F,560000.00,604250.00
Jamal,Thiaré,Atlanta United,F,500000.00,595000.00
Tristan,Muyumba,Atlanta United,M,525000.00,566600.00
Adyn,Torres,Atlanta United,M,71401.00,71401.00
Brad,Guzan,Atlanta United,GK,600000.00,612500.00
Noah,Cobb,Atlanta United,D,89716.00,89716.00
Ajani,Fortune,Atlanta United,M,71401.00,71401.00
Luis,Abram,Atlanta United,D,732275.00,871888.00
Edwin,Mosquera,Atlanta United,F,400000.00,437000.00
Tyler,Wolff,Atlanta United,F,150000.00,154500.00
Brooks,Lennon,Atlanta United,D,740000.00,740000.00
Ronald,Hernández,Atlanta United,D,450000.00,450000.00
Erik,Centeno,Atlanta United,D,89716.00,96492.00
Franco,Ibarra,Atlanta United,M,600000.00,660000.00
Santiago,Sosa,Atlanta United,M,685000.00,778100.00
Jáder,Obrian,Austin FC,F,495000.00,550401.00
Brendan,Hines-Ike,Austin FC,D,199992.00,199992.00
Osman,Bukari,Austin FC,F,1000000.00,1000000.00
Jimmy,Farkarlun,Austin FC,F,71401.00,71401.00
Owen,Wolff,Austin FC,M,110000.00,123600.00
Oleksandr,Svatok,Austin FC,D,300000.00,300000.00
Mikkel,Desler,Austin FC,D,500000.00,500000.00
Guilherme,da Trindade Dubas,Austin FC,D,200000.00,200000.00
Diego,Rubio,Austin FC,F,350000.00,390000.00
Stefan,Cleveland,Austin FC,GK,200000.00,224167.00
Ethan,Finlay,Austin FC,F,262500.00,306250.00
Julio,Cascante,Austin FC,D,700000.00,773750.00
Gyasi,Zardes,Austin FC,F,1000000.00,1000000.00
CJ,Fodrey,Austin FC,F,89716.00,93716.00
Brad,Stuver,Austin FC,GK,459000.00,481813.00
Daniel,Pereira,Austin FC,M,125000.00,138414.00
Alexander,Ring,Austin FC,M,1525000.00,1665000.00
Jhojan,Valencia,Austin FC,M,450000.00,495125.00
Sebastián,Driussi,Austin FC,M,4500000.00,6722500.00
Leo,Väisänen,Austin FC,D,600000.00,654500.00
Héctor,Jiménez,Austin FC,D,89716.00,89716.00
Jon,Gallagher,Austin FC,D,375000.00,375000.00
Matt,Hedges,Austin FC,D,428313.00,560922.00
Matt,Bersano,Austin FC,GK,150000.00,157500.00
Žan,Kolmanič,Austin FC,D,350000.00,350000.00
Micah,Burton,Austin FC,M,71401.00,82401.00
Damian,Las,Austin FC,GK,89716.00,89716.00
Ilias,Iliadis,CF Montreal,M,89716.00,96591.00
Rida,Zouhir,CF Montreal,M,89716.00,100452.00
Dawid,Bugaj,CF Montreal,D,240000.00,267600.00
Tom,Pearce,CF Montreal,D,450000.00,507625.00
Josef,Martínez,CF Montreal,F,1309091.00,1309091.00
Alessandro,Biello,CF Montreal,M,71401.00,71401.00
Joaquín,Sosa,CF Montreal,D,251500.00,251500.00
Matías,Cóccaro,CF Montreal,F,800000.00,888000.00
Dominik,Yankov,CF Montreal,M,350000.00,385000.00
Sebastian,Breza,CF Montreal,GK,89716.00,89716.00
Nathan-Dylan,Saliba,CF Montreal,M,130000.00,142434.00
Sunusi,Ibrahim,CF Montreal,F,350000.00,410000.00
Caden,Clark,CF Montreal,M,350000.00,382000.00
Jonathan,Sirois,CF Montreal,GK,135000.00,152156.00
Fernando,Álvarez,CF Montreal,D,225000.00,257000.00
Kwadwo,Opoku,CF Montreal,F,344828.00,485055.00
Joel,Waterman,CF Montreal,D,336000.00,384333.00
Gabriele,Corbo,CF Montreal,D,216350.00,216350.00
Bryce,Duke,CF Montreal,M,325000.00,406875.00
Samuel,Piette,CF Montreal,M,397375.00,434500.00
Jules-Anthony,Vilsaint,CF Montreal,F,89716.00,96591.00
Raheem,Edwards,CF Montreal,D,335000.00,367500.00
Victor,Wanyama,CF Montreal,M,1440000.00,1800000.00
Jahkeele,Marshall-Rutty,CF Montreal,D,175000.00,181813.00
George,Campbell,CF Montreal,D,400000.00,441250.00
Lassi,Lappalainen,CF Montreal,F,720000.00,750000.00
Logan,Ketterer,CF Montreal,GK,92610.00,92610.00
Matteo,Schiavoni,CF Montreal,M,71401.00,77383.00
Róbert Orri,Thorkelsson,CF Montreal,D,225000.00,248500.00
Grayson,Doody,CF Montreal,D,71401.00,73682.00
Ousman,Jabang,CF Montreal,M,71401.00,71401.00
Idan,Toklomati,Charlotte FC,F,390000.00,427700.00
Jamie,Paterson,Charlotte FC,M,500000.00,534444.00
Pep,Biel,Charlotte FC,M,1960000.00,2214147.00
Tim,Ream,Charlotte FC,D,500000.00,577750.00
Djibril,Diani,Charlotte FC,M,260000.00,297944.00
