FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp
"Mohammed ""Mo""",Adams,Atlanta United,M,121000.00,141000.00
Mikey,Ambrose,Atlanta United,D,81375.00,81375.00
Luiz,Araujo,Atlanta United,F-M,3600000.00,3941667.00
Ezequiel,Barco,Atlanta United,M,1875000.00,2358333.00
Josh,Bauer,Atlanta United,D,63547.00,63547.00
George,Bello,Atlanta United,D,135000.00,139000.00
George,Campbell,Atlanta United,D,80000.00,80000.00
Machop,Chol,Atlanta United,M,63547.00,63547.00
Jackson,Conway,Atlanta United,F,63547.00,63547.00
Jurgen,Damm,Atlanta United,M,1290000.00,1582509.00
Alex,De John,Atlanta United,D,81375.00,81375.00
Franco,Escobar,Atlanta United,D,450000.00,450000.00
Alan,Franco,Atlanta United,D,378000.00,505500.00
Brad,Guzan,Atlanta United,GK,805000.00,805000.00
Ronald,Hernandez,Atlanta United,D,250000.00,250000.00
Emerson,Hyndman,Atlanta United,M,900000.00,900000.00
Franco,Ibarra,Atlanta United,D-M,300000.00,370000.00
Alec,Kann,Atlanta United,GK,115000.00,115000.00
Brooks,Lennon,Atlanta United,D,375000.00,375000.00
Erik,Lopez Samaniego,Atlanta United,F,340000.00,508300.00
Ben,Lundgaard,Atlanta United,GK,81375.00,81375.00
Josef,Martinez,Atlanta United,F,3500000.00,3891667.00
Efrain,Morales,Atlanta United,D,63547.00,63547.00
Marcelino,Moreno,Atlanta United,F-M,400000.00,400000.00
Jake,Mulraney,Atlanta United,M,275600.00,312777.00
Miles,Robinson,Atlanta United,D,650000.00,687500.00
Matheus,Rossetto,Atlanta United,M,550000.00,662500.00
Amar,Sejdic,Atlanta United,M,81375.00,81375.00
Santiago,Sosa,Atlanta United,M-F,385000.00,503100.00
Erick,Torres,Atlanta United,F,81375.00,81375.00
Anton,Walkes,Atlanta United,D,250000.00,275062.00
Bryce,Washington,Atlanta United,D,63547.00,63547.00
Tyler,Wolff,Atlanta United,F-M,75000.00,79500.00
Sebastian,Berhalter,Austin FC,M,85000.00,122250.00
Matt,Besler,Austin FC,D,650000.00,650000.00
Julio,Cascante,Austin FC,D,290000.00,317500.00
Moussa,Djitte,Austin FC,F,500000.00,500000.00
Cecilio,Dominguez,Austin FC,F,1530000.00,1736000.00
Sebastian,Driussi,Austin FC,F,2571420.00,2688420.00
Diego,Fagundez,Austin FC,M,400000.00,400000.00
McKinze,Gaines,Austin FC,F,81375.00,84125.00
Jon,Gallagher,Austin FC,F,81375.00,81375.00
Danny,Hoesen,Austin FC,F,650000.00,716667.00
Hector,Jimenez,Austin FC,D,250000.00,250000.00
Freddy,Kleeman,Austin FC,D,63547.00,63547.00
Zan,Kolmanic,Austin FC,D,225000.00,225000.00
Nick,Lima,Austin FC,D,350000.00,350000.00
Kekuta,Manneh,Austin FC,F,81375.00,81375.00
Danny,Pereira,Austin FC,M,81375.00,99793.00
Manny,Perez,Austin FC,M,63547.00,89214.00
Tomas,Pochettino,Austin FC,M,582447.00,642447.00
William,Pulisic,Austin FC,GK,63547.00,63547.00
Rodney,Redes,Austin FC,F,385000.00,385000.00
Alexander,Ring,Austin FC,M,1000000.00,1095000.00
Jhohan,Romana,Austin FC,D,420000.00,420000.00
Aaron,Schoenfeld,Austin FC,F,210000.00,210000.00
Brady,Scott,Austin FC,GK,115000.00,121236.00
Ulises,Segura,Austin FC,M,240000.00,269125.00
Aedan,Stanley,Austin FC,D,63547.00,63547.00
Jared,Stroud,Austin FC,M,81375.00,81375.00
Brad,Stuver,Austin FC,GK,150000.00,160000.00
Ben,Sweat,Austin FC,D,250000.00,250000.00
Andrew,Tarbell,Austin FC,GK,275000.00,283333.00
Owen,Wolff,Austin FC,M,63547.00,76600.00
Adam,Armour,Charlotte FC,D,63547.00,63547.00
Brandt,Bronico,Charlotte FC,M,81375.00,90705.00
Ignacio,Aliseda,Chicago Fire,M,600000.00,821501.00
Robert,Beric,Chicago Fire,F,2274996.00,2703164.00
Jonathan,Bornstein,Chicago Fire,D,300000.00,323200.00
Chris,Brady,Chicago Fire,GK,66724.00,68624.00
Francisco,Calvo,Chicago Fire,D,830000.00,902600.00
Javier,Casas,Chicago Fire,M,66724.00,68624.00
Elliot,Collier,Chicago Fire,M,101375.00,101375.00
Jhon,Espinoza,Chicago Fire,D,162000.00,188500.00
Gaston,Gimenez,Chicago Fire,M,2058000.00,2358667.00
Brian,Gutierrez,Chicago Fire,M,66724.00,68624.00
Fabian,Herbers,Chicago Fire,M,230000.00,251250.00
Stanislav,Ivanov,Chicago Fire,M,275000.00,334000.00
Johan,Kappelhof,Chicago Fire,D-M,462500.00,490333.00
Kenneth,Kronholm,Chicago Fire,GK,569000.00,632000.00
Alvaro,Medran,Chicago Fire,M,1000000.00,1055000.00
Alex,Monis,Chicago Fire,M,66724.00,68624.00
Miguel Angel,Navarro,Chicago Fire,D,150000.00,197000.00
Federico,Navarro,Chicago Fire,M,180000.00,257500.00
Chinonso,Offor,Chicago Fire,F,132000.00,181400.00
Wyatt,Omsberg,Chicago Fire,D,85444.00,85444.00
Mauricio,Pineda,Chicago Fire,D-M,175000.00,198875.00
Andre,Reynolds,Chicago Fire,D,81375.00,89375.00
Allan,Rodriguez,Chicago Fire,M,66724.00,68624.00
Boris,Sekulic,Chicago Fire,D,571000.00,643900.00
Bobby,Shuttleworth,Chicago Fire,GK,110000.00,125750.00
Gabriel,Slonina,Chicago Fire,GK,100000.00,104800.00
Nicholas,Slonina,Chicago Fire,D,66724.00,67974.00
Luka,Stojanovic,Chicago Fire,M,314000.00,373400.00
Carlos,Teran,Chicago Fire,D,150000.00,205440.00
Lalas,Abubakar,Colorado Rapids,D,210000.00,247125.00
Kellyn,Acosta,Colorado Rapids,M,1000000.00,1115000.00
Sebastian,Anderson,Colorado Rapids,D,90000.00,91667.00
Dominique,Badji,Colorado Rapids,F,300000.00,306250.00
Michael,Barrios,Colorado Rapids,M,650000.00,650000.00
Cole,Bassett,Colorado Rapids,M,110000.00,119000.00
Steven,Beitashour,Colorado Rapids,D,150000.00,165000.00
Michael,Edwards,Colorado Rapids,D,81375.00,81375.00
Lucas,Esteves,Colorado Rapids,D,369996.00,412467.00
Kortne,Ford,Colorado Rapids,D,140000.00,140000.00
Braian,Galvan,Colorado Rapids,F,160000.00,252375.00
Matt,Hundley,Colorado Rapids,F,95000.00,104000.00
Clint,Irwin,Colorado Rapids,GK,190000.00,203300.00
Mark-Anthony,Kaye,Colorado Rapids,M,235625.00,247188.00
Jeremy,Kelly,Colorado Rapids,D,85444.00,85444.00
Oliver,Larraz,Colorado Rapids,M,63547.00,63547.00
Jonathan,Lewis,Colorado Rapids,F,410000.00,435000.00
Philip,Mayaka,Colorado Rapids,M,81375.00,94375.00
Nicolas,Mezquida,Colorado Rapids,M,350000.00,380000.00
Drew,Moor,Colorado Rapids,D,150000.00,165000.00
Younes,Namli,Colorado Rapids,M,850000.00,1271000.00
Jack,Price,Colorado Rapids,M,600000.00,655625.00
Andre,Rawls,Colorado Rapids,GK,85000.00,91000.00
Abraham,Rodriguez,Colorado Rapids,GK,63547.00,63547.00
Keegan,Rosenberry,Colorado Rapids,D,285000.00,298750.00
Diego,Rubio Kostner,Colorado Rapids,F,585000.00,629583.00
Andre,Shinyashiki,Colorado Rapids,F,120000.00,130000.00
"Dantouma ""Yaya""",Toure,Colorado Rapids,F,63547.00,78165.00
Auston,Trusty,Colorado Rapids,D,375000.00,431250.00
Will,Vint,Colorado Rapids,D,63547.00,63547.00
Collen,Warner,Colorado Rapids,M,81375.00,81375.00
Danny,Wilson,Colorado Rapids,D,275000.00,288750.00
Darren,Yapi,Colorado Rapids,F,63547.00,74380.00
William,Yarbrough,Colorado Rapids,GK,300000.00,375000.00
Saad,Abdul-Salaam,Columbus Crew,D,125000.00,133667.00
Harrison,Afful,Columbus Crew,D,335000.00,365000.00
Miguel,Berry,Columbus Crew,F,85444.00,85444.00
Evan,Bush,Columbus Crew,GK,376000.00,438667.00
Luis,Diaz,Columbus Crew,M,350004.00,383904.00
Eric,Dick,Columbus Crew,GK,85444.00,85444.00
Derrick,Etienne,Columbus Crew,M,125000.00,125000.00
Waylon,Francis,Columbus Crew,D,220000.00,230000.00
Liam,Fraser,Columbus Crew,M,89513.00,94513.00
Marlon,Hairston,Columbus Crew,M-D,81375.00,81375.00
Erik,Hurtado,Columbus Crew,F,218182.00,245682.00
Aboubacar,Keita,Columbus Crew,D,110000.00,110000.00
Perry,Kitchen,Columbus Crew,M,275000.00,301667.00
Grant,Lillard,Columbus Crew,D,125000.00,127500.00
Artur,de Lima,Columbus Crew,M,480000.00,531633.00
Alexandru,Matan,Columbus Crew,M-F,375000.00,408250.00
Jonathan,Mensah,Columbus Crew,D,1000000.00,1140667.00
Kevin,Molino,Columbus Crew,M,667000.00,667000.00
Steven,Moreira,Columbus Crew,D,350000.00,432708.00
Aidan,Morris,Columbus Crew,M,145000.00,147000.00
Darlington,Nagbe,Columbus Crew,M,1710000.00,1710000.00
Isaiah,Parente,Columbus Crew,M,63547.00,67547.00
Eloy,Room,Columbus Crew,GK,425004.00,479698.00
Pedro,Santos,Columbus Crew,M,817560.00,864560.00
Milton,Valenzuela,Columbus Crew,D,375000.00,406300.00
Josh,Williams,Columbus Crew,D,300000.00,302500.00
Vito,Wormgoor,Columbus Crew,D,415000.00,492875.00
