FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp
Miguel,Almiron,Atlanta United,M,"1912500.0","2297000.0"
Mikey,Ambrose,Atlanta United,D,"65625.0","65625.0"
Yamil,Asad,Atlanta United,M,"150000.0","150000.0"
Mark,Bloom,Atlanta United,D,"99225.0","106573.89"
Andrew,Carleton,Atlanta United,F,"65000.0","77400.0"
Carlos,Carmona,Atlanta United,M,"675000.0","725000.0"
Greg,Garza,Atlanta United,D,"150000.0","150000.0"
Leandro,Gonzalez Pirez,Atlanta United,D,"250008.0","285008.0"
Chris,Goslin,Atlanta United,M,"70000.0","74000.0"
Julian,Gressel,Atlanta United,M,"75000.0","93750.0"
Harrison,Heath,Atlanta United,M,"66150.0","66150.0"
Kenwyne,Jones,Atlanta United,F,"390000.0","413333.33"
Alec,Kann,Atlanta United,GK,"77004.0","77004.0"
Kevin,Kratz,Atlanta United,M,"150000.0","164250.0"
Jeff,Larentowicz,Atlanta United,M,"175008.0","175008.0"
Zach,Loyd,Atlanta United,D,"85008.0","85008.0"
Josef,Martinez,Atlanta United,F,"924000.0","1041310.0"
Chris,McCann,Atlanta United,M,"540000.0","568000.0"
Tyrone,Mears,Atlanta United,D,"183756.0","183756.0"
Jeffrey,Oblitey Otoo,Atlanta United,M-F,"53000.0","53000.0"
Michael,Parkhurst,Atlanta United,D,"325008.0","325008.0"
Jacob,Peterson,Atlanta United,F,"165300.0","165300.0"
Kyle,Reynish,Atlanta United,GK,"65004.0","65004.0"
Miles,Robinson,Atlanta United,D,"125000.04","195000.04"
Bryan,Rochez,Atlanta United,F,"200000.0","279500.0"
Alexander,Tambakis,Atlanta United,GK,"65004.0","65004.0"
Brandon,Vazquez,Atlanta United,F,"100008.0","120008.0"
Hector,Villalba,Atlanta United,F,"663000.0","770750.0"
Anton,Walkes,Atlanta United,D,"53004.0","53004.0"
Andrew,Wheeler-Omiunu,Atlanta United,M,"53004.0","53004.0"
Romario,Williams,Atlanta United,F,"65000.0","65000.0"
David,Accam,Chicago Fire,F-M,"750000.0","820937.5"
Arturo,Alvarez,Chicago Fire,M,"135000.0","142500.0"
David,Arshakyan,Chicago Fire,F,"156000.0","178850.0"
Brandt,Bronico,Chicago Fire,M,"65004.0","65004.0"
Joey,Calistri,Chicago Fire,M,"54075.0","54075.0"
