FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp
Luis,Abram,Atlanta United,D,556364.00,695977.00
Thiago,Almada,Atlanta United,M-F,1650000.00,2332000.00
Osvaldo,Alonso,Atlanta United,D-M,88200.00,88200.00
Esequiel,Barco,Atlanta United,M,2200000.00,2200000.00
Miguel,Berry,Atlanta United,F,135000.00,135000.00
Erik,Centeno,Atlanta United,D,67360.00,79136.00
Machop,Chol,Atlanta United,M,89716.00,89716.00
Noah,Cobb,Atlanta United,D,67360.00,67360.00
Jackson,Conway,Atlanta United,F,89716.00,89716.00
Clement,Diop,Atlanta United,GK,85444.00,85444.00
Derrick,Etienne Jr.,Atlanta United,M,676250.00,676250.00
Ajani,Fortune,Atlanta United,M,67360.00,67360.00
Justin,Garces,Atlanta United,GK,68775.00,68775.00
Georgios,Giakoumakis,Atlanta United,F,1576636.00,2160453.00
Brad,Guzan,Atlanta United,GK,600000.00,612500.00
Ronald,Hernandez,Atlanta United,D,375000.00,375000.00
Franco,Ibarra,Atlanta United,D-M,550000.00,620000.00
Brooks,Lennon,Atlanta United,D,700000.00,700000.00
Saba,Lobjanidze,Atlanta United,M,2052000.00,2150750.00
Aiden,McFadden,Atlanta United,D,85444.00,85444.00
Efrain,Morales,Atlanta United,D,85444.00,85444.00
Edwin,Mosquera,Atlanta United,M,375000.00,412000.00
Tristan,Muyumba,Atlanta United,D-M,450000.00,491600.00
Juan Jose,Purata,Atlanta United,D,400000.00,483500.00
Miles,Robinson,Atlanta United,D,1400000.00,1437500.00
Matheus,Rossetto,Atlanta United,M,650000.00,764375.00
Amar,Sejdic,Atlanta United,D-M,85444.00,92111.00
Xande,Silva,Atlanta United,M,480000.00,524250.00
Santiago,Sosa,Atlanta United,D-M,575000.00,693100.00
Jamal,Thiare,Atlanta United,F,977679.00,1072679.00
Quentin,Westberg,Atlanta United,GK,200000.00,200000.00
Caleb,Wiley,Atlanta United,D,85444.00,87044.00
Tyler,Wolff,Atlanta United,M,120000.00,124500.00
Charlie,Asensio,Austin FC,D,68775.00,68775.00
Matt,Bersano,Austin FC,GK,125000.00,132500.00
Will,Bruin,Austin FC,F,200000.00,200000.00
Julio,Cascante,Austin FC,D,620000.00,693750.00
Sofiane,Djeffal,Austin FC,M,75325.00,75325.00
Moussa,Djitte,Austin FC,F,600000.00,600000.00
Sebastian,Driussi,Austin FC,M-F,3800000.00,6022500.00
Ethan,Finlay,Austin FC,M,425000.00,425000.00
CJ,Fodrey,Austin FC,M,67360.00,69360.00
Jon,Gallagher,Austin FC,D,300000.00,300000.00
Matt,Hedges,Austin FC,D,776250.00,908859.00
Hector,Jimenez,Austin FC,D,85444.00,85444.00
Kipp,Keller,Austin FC,D,100000.00,112500.00
Zan,Kolmanic,Austin FC,D,325000.00,325000.00
Damian,Las,Austin FC,GK,67360.00,67360.00
Nick,Lima,Austin FC,D,375000.00,375000.00
Adam,Lundqvist,Austin FC,D,350000.00,397500.00
Alfonso,Ocampo-Chavez,Austin FC,F,67360.00,83360.00
Daniel,Pereira,Austin FC,M,100000.00,118414.00
Rodney,Redes,Austin FC,M,440000.00,440000.00
Emiliano,Rigoni,Austin FC,M,1599996.00,2047996.00
Alexander,Ring,Austin FC,M,1500000.00,1640000.00
Memo,Rodriguez,Austin FC,M,180000.00,210167.00
Jhohan,Romana,Austin FC,D,460000.00,460000.00
Brad,Stuver,Austin FC,GK,408000.00,430813.00
Maximiliano,Urruti,Austin FC,F,700000.00,736250.00
Leo,Vaisanen,Austin FC,D,600000.00,654500.00
Jhojan,Valencia,Austin FC,D-M,400000.00,445125.00
Owen,Wolff,Austin FC,M,100000.00,113053.00
Gyasi,Zardes,Austin FC,F,800000.00,800000.00
Fernando,Alvarez,CF Montreal,D,85444.00,117444.00
Jean-Aniel,Assi,CF Montreal,M,85444.00,94749.00
Zachary,Brault-Guillard,CF Montreal,D,275000.00,319375.00
George,Campbell,CF Montreal,D,325000.00,365625.00
Mathieu,Choiniere,CF Montreal,M,250000.00,276667.00
Gabriele,Corbo,CF Montreal,D,216350.00,216350.00
Bryce,Duke,CF Montreal,M,150000.00,231875.00
Ahmed,Hamdi,CF Montreal,M-F,500000.00,597500.00
Aaron,Herrera,CF Montreal,D,725000.00,820220.00
Sunusi,Ibrahim,CF Montreal,F,200000.00,291250.00
Ilias,Iliadis,CF Montreal,D-M,85444.00,92319.00
Ousman,Jabang,CF Montreal,D-M,67360.00,67360.00
Logan,Ketterer,CF Montreal,GK,88200.00,88200.00
Jojea,Kwizera,CF Montreal,M,68775.00,68775.00
Lassi,Lappalainen,CF Montreal,M,630000.00,660000.00
Ariel,Lassiter,CF Montreal,M,220000.00,240280.00
Matko,Miljevic,CF Montreal,M,545455.00,593364.00
Chinonso,Offor,CF Montreal,F,200000.00,257875.00
Kwadwo,Opoku,CF Montreal,M,310344.00,512100.00
James,Pantemis,CF Montreal,GK,144996.00,163996.00
Samuel,Piette,CF Montreal,D-M,397375.00,469563.00
Romell,Quioto,CF Montreal,F,950000.00,1035000.00
Sean,Rea,CF Montreal,M-F,85444.00,92340.00
Nathan-Dylan,Saliba,CF Montreal,M,67360.00,79169.00
Jonathan,Sirois,CF Montreal,GK,85444.00,89780.00
Robert Orri,Thorkelsson,CF Montreal,D,175000.00,198500.00
Mason,Toye,CF Montreal,F,550000.00,608000.00
Jules-Anthony,Vilsaint,CF Montreal,F,85444.00,92319.00
Victor,Wanyama,CF Montreal,D-M,1440000.00,1800000.00
Joel,Waterman,CF Montreal,D,161369.00,288202.00
Rida,Zouhir,CF Montreal,M,85444.00,92340.00
Harrison,Afful,Charlotte FC,D,85444.00,85444.00
Patrick,Agyemang,Charlotte FC,F,67360.00,67360.00
Scott,Arfield,Charlotte FC,M,400000.00,437500.00
Ben,Bender,Charlotte FC,M,85444.00,105444.00
Nimfasha,Berchimas,Charlotte FC,M,67360.00,82294.00
Brandt,Bronico,Charlotte FC,M,310000.00,348375.00
Nathan,Byrne,Charlotte FC,D,560000.00,607833.00
Brandon,Cambridge,Charlotte FC,M,67360.00,75386.00
Enzo,Copetti,Charlotte FC,F,1000000.00,1142250.00
Guzman,Corujo,Charlotte FC,D,625000.00,658500.00
Brecht,Dejaegere,Charlotte FC,M,820000.00,999375.00
Hamady,Diop,Charlotte FC,D,67360.00,74860.00
McKinze,Gaines,Charlotte FC,M,100000.00,102750.00
Chris,Hegardt,Charlotte FC,D-M,85444.00,92956.00
Derrick,Jones,Charlotte FC,M,325000.00,347969.00
Kamil,Jozwiak,Charlotte FC,M,1100000.00,1217000.00
Kristijan,Kahlina,Charlotte FC,GK,500000.00,526875.00
Jaylin,Lindsey,Charlotte FC,D,250000.00,286250.00
Adilson,Malanda,Charlotte FC,D,275000.00,303083.00
George,Marks,Charlotte FC,GK,68775.00,68775.00
Justin,Meram,Charlotte FC,M,450000.00,493750.00
Jack,Neeley,Charlotte FC,D,67360.00,69360.00
Andrew,Privett,Charlotte FC,D,67360.00,67360.00
Brian,Romero,Charlotte FC,M,67360.00,78193.00
Nick,Scardina,Charlotte FC,M,67360.00,67360.00
Vinicius,Silveira de Mello,Charlotte FC,F,315000.00,349900.00
Pablo,Sisniega,Charlotte FC,GK,190000.00,210667.00
Jan,Sobocinski,Charlotte FC,D,325000.00,351250.00
Karol,Swiderski,Charlotte FC,F,2200000.00,2258000.00
Bill,Tuiloma,Charlotte FC,D,435000.00,459938.00
Jere,Uronen,Charlotte FC,D,450000.00,497813.00
Kerwin,Vargas,Charlotte FC,F,375000.00,412125.00
Ashley,Westwood,Charlotte FC,D-M,750000.00,850000.00
Adrian,Zendejas,Charlotte FC,GK,85444.00,93430.00
Alonso,Aceves,Chicago Fire,D,330000.00,368900.00
Victor,Bezerra,Chicago Fire,F,85444.00,97905.00
Chris,Brady,Chicago Fire,GK,189996.00,213246.00
Kendall,Burks,Chicago Fire,D,88200.00,88200.00
Javier,Casas,Chicago Fire,M,85444.00,87344.00
Rafael,Czichos,Chicago Fire,D,1300000.00,1336667.00
Jonathan,Dean,Chicago Fire,D,85444.00,93611.00
Ousmane,Doumbia,Chicago Fire,D-M,420000.00,564000.00
Jeff,Gal,Chicago Fire,GK,85444.00,85444.00
Gaston,Gimenez,Chicago Fire,D-M,1600000.00,1633333.00
Brian,Gutierrez,Chicago Fire,M-F,200004.00,240004.00
