FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp
Brenden,Aaronson,Philadelphia Union,M-F,70000.08,98309.48
Saad,Abdul-Salaam,Seattle Sounders FC,D,70250.04,70250.04
Lalas,Abubakar,Colorado Rapids,D,135000.00,144937.50
David,Accam,Columbus Crew,M-F,1010004.00,1137920.00
Kellyn,Acosta,Colorado Rapids,D-M,549999.96,664999.96
Luciano,Acosta,DC United,M-F,600000.00,702000.00
Bryan,Acosta,FC Dallas,M,600000.00,650000.00
Danilo,Acosta,Orlando City SC,D,110000.04,110000.04
"Mohammed ""Mo""",Adams,Atlanta United,M,99999.96,134999.96
Fanendo,Adi,FC Cincinnati,F,1360008.00,1965008.00
Ali,Adnan,Vancouver Whitecaps,D,1200000.00,1277499.90
Francois,Affolter,San Jose Earthquakes,D,249999.96,281999.96
Harrison,Afful,Columbus Crew,D,288099.96,363799.96
Juan,Agudelo,New England Revolution,F,574999.92,604999.92
Jacob,Akanyirige,San Jose Earthquakes,D,62225.04,64225.04
Tesho,Akindele,Orlando City SC,F,150000.00,150000.00
Ayo,Akinola,Toronto FC,F,56256.00,124256.00
Fatai,Alashe,FC Cincinnati,D-M,189999.96,189999.96
Nazmi,Albadawi,FC Cincinnati,M-F,70250.04,70250.04
Romain,Alessandrini,LA Galaxy,M-F,1610004.00,1940004.00
Eric,Alexander,FC Dallas,M,270000.00,270000.00
RJ,Allen,Philadelphia Union,D,70250.04,70250.04
Jordan,Allen,Real Salt Lake,M-F,237999.96,237999.96
Osvaldo,Alonso,Minnesota United,D-M,650000.04,697500.04
Jozy,Altidore,Toronto FC,F,4891250.04,6332250.04
Favio,Alvarez,LA Galaxy,M-F,525000.00,586250.00
Efrain,Alvarez,LA Galaxy,M-F,70872.00,75605.80
Fabinho,Alves,Philadelphia Union,D,120000.00,120000.00
Quincy,Amarikwa,DC United,F,70250.04,70250.04
Frankie,Amaya,FC Cincinnati,M-F,110000.04,172000.04
Mikey,Ambrose,Atlanta United,D,72351.60,72351.60
Edwin,Anane-Gyasi,FC Dallas,M-F,570000.00,719225.00
Sebastian,Anderson,Colorado Rapids,D,56250.00,80916.67
Isaac,Angking,New England Revolution,M-F,70250.04,75250.04
Jalil,Anibaba,New England Revolution,D,101250.00,101250.00
Uriel,Antuna,LA Galaxy,M-F,420000.00,420000.00
Pablo,Aranguiz,FC Dallas,M-F,406666.68,466666.68
Julian,Araujo,LA Galaxy,D,80000.04,86250.04
Heber,Araujo dos Santos,New York City FC,F,785000.04,788750.04
Joaquín,Ardaiz,Vancouver Whitecaps,F,272727.12,272727.12
Hugo,Arellano,LA Galaxy,D,82500.00,90073.75
Luis,Argudo,Columbus Crew,M-F,57225.00,57225.00
Xavier,Arreaga,Seattle Sounders FC,D,393600.00,500850.00
Luis,Arriaga,Real Salt Lake,M,56250.00,56250.00
Paul,Arriola,DC United,M,675000.00,707000.00
Artur,de Lima,Columbus Crew,D-M,360000.00,411633.33
Carlos,Ascues,Orlando City SC,D-M,420000.00,451500.00
Dairon,Asprilla,Portland Timbers,M-F,200000.04,213750.04
Jeff,Attinella,Portland Timbers,GK,174999.96,187249.96
Francis,Atuahene,FC Dallas,M-F,135000.00,179000.00
Eduard,Atuesta,LAFC,D-M,474999.96,492999.96
,Auro,Toronto FC,D,225000.00,276666.67
Micheal,Azira,Chicago Fire,D-M,140000.04,146625.04
Dominique,Badji,FC Dallas,F,200000.04,206250.04
Thelonius,Bair,Vancouver Whitecaps,F,56250.00,76250.00
Corey,Baird,Real Salt Lake,F,70008.00,70008.00
Jon,Bakero,Toronto FC,F,70250.04,70250.04
Michael,Baldisimo,Vancouver Whitecaps,D-M,56250.00,83012.80
"Alhassane ""Lass""",Bangoura,Vancouver Whitecaps,M-F,99999.96,99999.96
Botond,Baráth,Sporting Kansas City,D,250000.08,297333.41
Ezequiel,Barco,Atlanta United,M-F,1425000.00,1425000.00
Tom,Barlow,New York Red Bulls,F,56250.00,56250.00
Luis,Barraza,New York City FC,GK,56250.00,56250.00
Michael,Barrios,FC Dallas,M-F,500000.04,500000.04
Cole,Bassett,Colorado Rapids,M,75000.00,84000.00
Lamar,Batista,LAFC,D,56250.00,56250.00
Clement,Bayiha,CF Montreal,M-F,61750.08,67125.08
DaMarcus,Beasley,Houston Dynamo,D,275000.04,275000.04
Jason,Beaulieu,CF Montreal,GK,70250.04,70250.04
Kyle,Beckerman,Real Salt Lake,D-M,300000.00,325000.00
Daniel,Bedoya,New York City FC,M-F,70250.04,70250.04
Alejandro,Bedoya,Philadelphia Union,M,1200000.00,1266250.00
Steven,Beitashour,LAFC,D,275000.04,298375.04
George,Bello,Atlanta United,D,75000.00,79000.00
Tony,Beltran,Real Salt Lake,D,195000.00,207000.00
Joe,Bendik,Philadelphia Union,GK,144000.00,144000.00
Nicolas,Benezet,Toronto FC,M-F,600000.00,600000.00
Matt,Bersano,San Jose Earthquakes,GK,71666.88,71666.88
Leonardo,Bertone,FC Cincinnati,M,450000.00,496666.67
