FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp
Aminu,Abdallah,Vancouver Whitecaps,M,"46500.0","46500.0"
Kellyn,Acosta,FC Dallas,M,"46500.0","70500.0"
Samuel,Adekugbe,Vancouver Whitecaps,D,"46500.0","51500.0"
Gale,Agbossoumonde,Toronto FC,D,"46500.0","53166.67"
Juan,Agudelo,New England Revolution,F,"145000.0","175000.0"
Andre,Akpan,New York Red Bulls,F,"67595.0","67595.0"
Jaime,Alas,San Jose Earthquakes,M,"90000.0","91250.0"
Chris,Albright,Philadelphia Union,D,"75000.0","75000.0"
Bryce,Alderson,Vancouver Whitecaps,M,"65000.0","80000.0"
,Alex,Chicago Fire,M,"110000.0","119950.0"
Eric,Alexander,New York Red Bulls,M,"70867.5","70867.5"
Kalif,Alhassan,Portland Timbers,M,"80000.0","89250.0"
Osvaldo,Alonso,Seattle Sounders FC,M,"210000.0","210000.0"
Kevin,Alston,New England Revolution,D,"145000.0","194000.0"
Carlos,Alvarez,Chivas USA,M,"46500.0","81500.0"
Yordany,Alvarez,Real Salt Lake,M,"46500.0","46500.0"
Quincy,Amarikwa,Chicago Fire,F,"46500.0","46500.0"
Juan Luis,Anangono,Chicago Fire,F,"120000.0","120000.0"
Don,Anding,Philadelphia Union,F,"35125.0","35125.0"
Jalil,Anibaba,Chicago Fire,D,"91245.0","131245.0"
Bernardo,Anor,Columbus Crew,M,"46500.0","46500.0"
Daniel,Antunez,Chivas USA,M,"65000.0","72500.0"
Manuel,Aparicio,Toronto FC,M,"35125.0","35125.0"
Paulo,Araujo Jr.,MLS Pool,F,"60000.0","60000.0"
Anthony,Arena,Houston Dynamo,D,"35125.0","35125.0"
David,Armstrong,Colorado Rapids,M,"46500.0","55964.29"
Davy,Arnaud,CF Montreal,M,"275000.0","290000.0"
Jairo,Arrieta,Columbus Crew,F,"216000.0","225375.0"
Corey,Ashe,Houston Dynamo,M,"101250.0","105750.0"
Yazid,Atouba,Chicago Fire,F,"46500.0","51500.0"
Nana,Attakora,San Jose Earthquakes,D,"61665.0","61665.0"
Jeff,Attinella,Real Salt Lake,GK,"46500.0","46500.0"
Eric,Avila,Chivas USA,M,"100000.0","120000.0"
Rafael,Baca,San Jose Earthquakes,M,"49500.0","49500.0"
Bradlee,Baladez,FC Dallas,F,"35125.0","36125.0"
Rich,Balchan,Real Salt Lake,D,"35125.0","35125.0"
Mehdi,Ballouchy,San Jose Earthquakes,M,"152006.0","152006.0"
Brandon,Barklage,New York Red Bulls,M,"65000.0","71428.54"
Darrius,Barnes,New England Revolution,D,"71467.0","72717.0"
Giles,Barnes,Houston Dynamo,M,"175000.0","184187.5"
Orr,Barouch,Chicago Fire,F,"46500.0","46500.0"
Chad,Barrett,New England Revolution,F,"105000.0","110709.17"
Chad,Barson,Columbus Crew,D,"46500.0","46500.0"
Will,Bates,Seattle Sounders FC,F,"35125.0","35125.0"
Kyle,Beckerman,Real Salt Lake,M,"300000.0","328750.0"
Drew,Beckie,Columbus Crew,D,"35125.0","35125.0"
Steven,Beitashour,San Jose Earthquakes,D,"49612.5","49612.5"
Kyle,Bekker,Toronto FC,M,"46500.0","72750.0"
Anthony,Beltran,Real Salt Lake,D,"166800.0","166800.0"
Joe,Bendik,Toronto FC,GK,"46500.0","46500.0"
Jerry,Bengtson,New England Revolution,F,"132000.0","138840.0"
Jair,Benitez,FC Dallas,D,"90000.0","90000.0"
Hernan,Bernardello,CF Montreal,M,"250008.0","250008.0"
Victor,Bernardez,San Jose Earthquakes,D,"100008.0","100008.0"
Patrice,Bernier,CF Montreal,F-M,"143000.0","162333.25"
Austin,Berry,Chicago Fire,D,"63425.0","78425.0"
Glauber,Berti,Columbus Crew,D,"215000.0","263333.33"
Matt,Besler,Sporting Kansas City,D,"180000.0","180000.0"
Federico,Bessone,Sporting Kansas City,D,"46500.0","46500.0"
