FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp
Chris,Albright,New England Revolution,D,"176000.0","176000.0"
Jean,Alexandre,Real Salt Lake,M,"34000.0","34000.0"
Ely,Allen,DC United,F-M,"15300.0","15300.0"
Osvaldo,Alonso,Seattle Sounders FC,M,"65000.0","65000.0"
Kevin,Alston,New England Revolution,D,"55000.0","104000.0"
Arturo,Alvarez,San Jose Earthquakes,M-F,"174750.0","184087.5"
Quincy,Amarikwa,San Jose Earthquakes,F,"34000.0","34000.0"
Juan Pablo,Angel,New York Red Bulls,F,"1500000.0","1798000.0"
Davy,Arnaud,Sporting Kansas City,M,"220000.0","228750.0"
Corey,Ashe,Houston Dynamo,M,"34650.0","34650.0"
Nana,Attakora-Gyan,Toronto FC,D,"34000.0","34000.0"
Eric,Avila,FC Dallas,M,"70000.0","103000.0"
Gabriel,Badilla,New England Revolution,D,"138000.0","138000.0"
Mehdi,Ballouchy,Colorado Rapids,M,"100000.0","118000.0"
Michael,Banner,Chicago Fire,D,"34000.0","34000.0"
Brandon,Barklage,DC United,M-F,"20100.0","20100.0"
Darrius,Barnes,New England Revolution,D,"34008.0","34008.0"
Wade,Barrett,Houston Dynamo,D,"154000.0","156500.0"
Chad,Barrett,Toronto FC,F,"195000.0","202500.0"
Julien,Baudet,Colorado Rapids,D,"156000.0","169750.0"
Kyle,Beckerman,Real Salt Lake,M,"160650.0","163150.0"
David,Beckham,LA Galaxy,M,"5500000.08","6500000.04"
Anthony,Beltran,Real Salt Lake,D,"70000.0","105500.0"
Miguel,Benitez,MLS Pool,GK,"34000.0","34000.0"
Jair,Benitez,FC Dallas,D,"36000.0","36000.0"
Gregg,Berhalter,LA Galaxy,D,"144000.0","162750.0"
Matt,Besler,Sporting Kansas City,D,"36000.0","47250.0"
Chris,Birchall,LA Galaxy,M,"84000.0","97125.0"
Cuauhtemoc,Blanco,Chicago Fire,M,"2769240.0","2943702.0"
Nat,Borchers,Real Salt Lake,D,"130000.0","137500.0"
Danleigh,Borman,New York Red Bulls,D-M,"20100.0","20100.0"
Jonathan,Bornstein,Chivas USA,D,"90000.0","90000.0"
Terry,Boss,Seattle Sounders FC,GK,"36000.0","38500.0"
Robert,Boswell,Houston Dynamo,D,"150000.0","150000.0"
Tristan,Bowen,LA Galaxy,F,"65000.0","96363.63"
Andrew,Boyens,New York Red Bulls,D,"49550.0","52050.0"
Justin,Braun,Chivas USA,F,"20100.0","20100.0"
Jim,Brennan,Toronto FC,D,"185000.0","193250.0"
Evan,Brown,Seattle Sounders FC,D,"20100.0","20100.0"
C.J.,Brown,Chicago Fire,D,"91200.0","96000.0"
Eric,Brunner,Columbus Crew,D,"34008.0","34008.0"
Edson,Buddle,LA Galaxy,F,"169950.0","179950.0"
Marc,Burch,DC United,D,"60000.0","62500.0"
Bobby,Burling,San Jose Earthquakes,D,"34000.0","34000.0"
Kevin,Burns,Columbus Crew,M,"20100.0","20100.0"
Preston,Burpo,Colorado Rapids,GK,"57871.99","57871.99"
Ray,Burse,FC Dallas,GK,"34650.0","34650.0"
Jon,Busch,Chicago Fire,GK,"135000.0","136350.0"
Geoff,Cameron,Houston Dynamo,M,"34650.0","34650.0"
Pablo,Campos,Real Salt Lake,F,"65000.0","69846.72"
Joe,Cannon,San Jose Earthquakes,GK,"180500.0","190756.25"
Calen,Carr,Chicago Fire,F,"58410.0","70910.0"
Fred,Carreiro,DC United,M-F,"225000.0","257000.0"
Brian,Carroll,Columbus Crew,M,"133875.0","137625.0"
Conor,Casey,Colorado Rapids,F,"200000.0","200000.0"
Mauricio,Castro,New England Revolution,M,"120000.0","126250.0"
Albert,Celades,New York Red Bulls,M,"100000.0","125625.0"
Daniel,Cepero,New York Red Bulls,GK,"34000.0","34000.0"
Steward,Ceus,Colorado Rapids,GK,"20100.0","20100.0"
Michael,Chabala,Houston Dynamo,M,"34000.0","34000.0"
Marvin,Chavez,FC Dallas,M,"60000.0","70000.0"
Chukwudi,Chijindu,Chivas USA,M,"20100.0","20100.0"
Brian,Ching,Houston Dynamo,F,"242550.0","242550.0"
Giorgi,Chirgadze,New York Red Bulls,F,"20100.0","20100.0"
Colin,Clark,Colorado Rapids,M,"85000.0","90000.0"
Ricardo,Clark,Houston Dynamo,M,"248050.0","248050.0"
Ryan,Cochrane,Houston Dynamo,D,"145000.0","146250.0"
Nico,Colaluca,New England Revolution,M,"75000.0","108000.0"
Wilman,Conde,Chicago Fire,D,"168000.0","188000.0"
Jimmy,Conrad,Sporting Kansas City,D,"213750.0","225000.0"
Bobby,Convey,San Jose Earthquakes,M,"222000.0","244500.0"
Jon,Conway,Chivas USA,GK,"36000.0","42125.0"
Ramiro,Corrales,San Jose Earthquakes,M,"190000.0","202500.0"
Bouna,Coundoul,New York Red Bulls,GK,"123999.96","125249.96"
Raphael,Cox,Real Salt Lake,D,"20100.0","20100.0"
Adam,Cristman,Sporting Kansas City,F,"34650.0","34650.0"
Sam,Cronin,Toronto FC,M,"36000.0","84000.0"
Danny,Cruz,Houston Dynamo,M,"55000.0","98000.0"
Yamith,Cuesta,Chivas USA,D,"36000.0","36000.0"
Omar,Cummings,Colorado Rapids,F,"65000.0","73750.0"
Jeffrey,Cunningham,FC Dallas,F,"209170.0","219295.0"
Jim,Curtin,Chivas USA,D,"109204.2","109204.2"
Greg,Dalby,Colorado Rapids,M,"34650.0","34650.0"
Kyle,Davies,FC Dallas,D,"50004.0","50004.0"
Brad,Davis,Houston Dynamo,M,"132300.0","132300.0"
Julian,de Guzman,Toronto FC,M,"909600.0","956350.0"
AJ,DeLaGarza,LA Galaxy,D,"36000.0","36000.0"
Tyler,Deric,Houston Dynamo,GK,"20100.0","20100.0"
Dwayne,DeRosario,Toronto FC,M,"357000.0","425750.0"
Daniel,Dichio,Toronto FC,F,"120000.0","120000.0"
Stefan,Dimitrov,Chicago Fire,F,"34008.0","34008.0"
John,DiRaimondo,DC United,M,"20100.0","20100.0"
Facundo,Diz,Colorado Rapids,F,"42000.0","42000.0"
Landon,Donovan,LA Galaxy,F,"900000.0","900000.0"
Ben,Dragavon,MLS Pool,GK,"34000.0","34000.0"
Mkhokheli,Dube,New England Revolution,F,"34650.0","34650.0"
Todd,Dunivant,LA Galaxy,D,"109974.38","109974.38"
Andrew,Dykstra,Chicago Fire,GK,"34000.0","34000.0"
Brian,Edwards,Toronto FC,GK,"39600.0","48350.0"
